"ad_creation_time","ad_creative_body","ad_creative_link_caption","ad_creative_link_description","ad_creative_link_title","ad_delivery_start_time","ad_delivery_stop_time","currency","funding_entity","page_id","page_name","spend_lower","spend_upper","adlib_id","impressions_lower","impressions_upper","potential_reach_lower","potential_reach_upper","ad_snapshot_url"
2021-06-29,"Georgia’s Republican legislators passed a voter suppression law intended to SILENCE the Georgia voters who delivered our majority. And now Senate Republicans are using every procedural tactic they have to BLOCK voting rights legislation.

No matter what, voter registration and organizing efforts in Georgia must continue year-round, even in the “off year.” Period. 

That’s why we need your help RIGHT NOW. Please contribute $5 to our work in Georgia before the FEC filing deadline this Wednesday.","secure.actblue.com",NA,"June 30 FEC Deadline <U+2192>",2021-06-29,2021-07-01,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",200,299,"348541833645211",4000,4999,100001,5e+05,"https://www.facebook.com/ads/archive/render_ad/?id=348541833645211&access_token={access_token}"
2021-06-29,"<U+0001F6A8>I need your help fighting back against Georgia’s new voter suppression law. 

Chip in a $5 monthly contribution to support my team in Georgia <U+2192>","secure.actblue.com",NA,"June 30 FEC Deadline <U+2192>",2021-06-29,2021-07-01,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",300,399,"886215605302347",7000,7999,100001,5e+05,"https://www.facebook.com/ads/archive/render_ad/?id=886215605302347&access_token={access_token}"
2021-06-28,"Georgia’s Republican legislators passed a voter suppression law intended to SILENCE the Georgia voters who delivered our majority. And now Senate Republicans are using every procedural tactic they have to BLOCK voting rights legislation.

No matter what, voter registration and organizing efforts in Georgia must continue year-round, even in the “off year.” Period. 

That’s why we need your help RIGHT NOW. Please contribute $5 to our work in Georgia before the FEC filing deadline this Wednesday.","secure.actblue.com",NA,"June 30 FEC Deadline <U+2192>",2021-06-28,2021-06-30,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",700,799,"5749947825078438",25000,29999,500001,1e+06,"https://www.facebook.com/ads/archive/render_ad/?id=5749947825078438&access_token={access_token}"
2021-06-28,"Georgia’s Republican legislators passed a voter suppression law intended to SILENCE the Georgia voters who delivered our majority. And now Senate Republicans are using every procedural tactic they have to BLOCK voting rights legislation.

No matter what, voter registration and organizing efforts in Georgia must continue year-round, even in the “off year.” Period. 

That’s why we need your help RIGHT NOW. Please contribute $5 to our work in Georgia before the FEC filing deadline this Wednesday.","secure.actblue.com",NA,"June 30 FEC Deadline <U+2192>",2021-06-28,2021-06-29,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",100,199,"601925274120441",1000,1999,500001,1e+06,"https://www.facebook.com/ads/archive/render_ad/?id=601925274120441&access_token={access_token}"
2021-06-21,"Imagine the world we’d be living in without Georgia voters.... 

No well-funded national vaccination push. 

No funding for public schools to re-open safely.

No hope for an infrastructure and clean energy bill.

McConnell would still be Majority Leader.

Elections have consequences. The vote is our most powerful tool as citizens.

But in the aftermath of my  victory, Georgia Republicans have passed unethical election laws to make it harder to vote.

That means our Voter Protection efforts must continue year-round.

Help me keep fighting for the people.

Please support our work in Georgia before our deadline tonight. 

With gratitude, as always,

Senator Jon Ossoff","secure.actblue.com","Support our work in Georgia.","June 30 FEC Deadline <U+2192>",2021-06-21,2021-06-28,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",500,599,"1267974450328466",20000,24999,500001,1e+06,"https://www.facebook.com/ads/archive/render_ad/?id=1267974450328466&access_token={access_token}"
2021-06-21,"<U+0001F6A8>Georgia Republicans have passed unethical election laws to make it harder to vote.

That means our Voter Protection efforts must continue year-round.  

Chip-in a $10 monthly contribution to support our work in Georgia.","secure.actblue.com","Support our work in Georgia.","June 30 FEC Deadline <U+2192>",2021-06-21,2021-06-28,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",1000,1499,"893468194717012",20000,24999,500001,1e+06,"https://www.facebook.com/ads/archive/render_ad/?id=893468194717012&access_token={access_token}"
2021-06-21,"<U+0001F6A8>I need your help fighting back against Georgia’s new voter suppression law. 

Chip in a $5 monthly contribution to support my team in Georgia <U+2192>","secure.actblue.com",NA,"June 30 FEC Deadline <U+2192>",2021-06-21,2021-06-29,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",1000,1499,"1223733574714850",25000,29999,500001,1e+06,"https://www.facebook.com/ads/archive/render_ad/?id=1223733574714850&access_token={access_token}"
2021-06-21,"<U+23F0> DEADLINE TONIGHT 

Georgia Republicans have passed unethical election laws to make it harder to vote.

PUSH BACK. Donate $10 before our deadline TONIGHT.","secure.actblue.com","Support our work in Georgia.","June 30 FEC Deadline <U+2192>",2021-06-21,2021-06-28,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",400,499,"834000814219130",10000,14999,500001,1e+06,"https://www.facebook.com/ads/archive/render_ad/?id=834000814219130&access_token={access_token}"
2021-06-14,"<U+0001F6A8>I need your help fighting back against Georgia’s new voter suppression law. 

Chip in a $5 monthly contribution to support my team in Georgia <U+2192>","secure.actblue.com",NA,"Donate $5 <U+2192>",2021-06-14,2021-06-18,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",600,699,"367723911438949",6000,6999,50001,1e+05,"https://www.facebook.com/ads/archive/render_ad/?id=367723911438949&access_token={access_token}"
2021-06-14,"Georgia’s GOP legislature just passed a voter suppression law that makes it harder to vote early and vote by mail. 

PUSH BACK: Make a $10 contribution before our deadline TONIGHT <U+2192>","secure.actblue.com",NA,"Donate $10 <U+2192>",2021-06-14,2021-06-19,"USD","JON OSSOFF FOR SENATE","1336293769761923","Jon Ossoff",1000,1499,"510036710433127",10000,14999,50001,1e+05,"https://www.facebook.com/ads/archive/render_ad/?id=510036710433127&access_token={access_token}"
