year,state,,state_fips,state_cen,state_ic,office,,stage,runoff,special,candidate,party,state_po,district,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,fb_ad_library_id
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,TERRI A. SEWELL,DEMOCRAT,AL,7,FALSE,TOTAL,225742,232331,FALSE,20210604,FALSE,429681917483068
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,PHYLLIS HARVEY-HALL,DEMOCRAT,AL,2,FALSE,TOTAL,105286,303569,FALSE,20210604,FALSE,110274720431086
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,BARRY MOORE,REPUBLICAN,AL,2,FALSE,TOTAL,197996,303569,FALSE,20210604,FALSE,168857193154545
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,RICK NEIGHBORS,DEMOCRAT,AL,4,FALSE,TOTAL,56237,318029,FALSE,20210604,FALSE,
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,ROBERT B. ADERHOLT,REPUBLICAN,AL,4,FALSE,TOTAL,261553,318029,FALSE,20210604,FALSE,110557007154443
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,GARY J. PALMER,REPUBLICAN,AL,6,FALSE,TOTAL,274160,282261,FALSE,20210604,FALSE,238609612987036
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,JAMES AVERHART,DEMOCRAT,AL,1,FALSE,TOTAL,116949,329075,FALSE,20210604,FALSE,102311071129900
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,JERRY CARL,REPUBLICAN,AL,1,FALSE,TOTAL,211825,329075,FALSE,20210604,FALSE,243856543217942
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,ADIA WINFREY,DEMOCRAT,AL,3,FALSE,TOTAL,104595,322234,FALSE,20210604,FALSE,101225254847586
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,MIKE ROGERS,REPUBLICAN,AL,3,FALSE,TOTAL,217384,322234,FALSE,20210604,FALSE,6406874733
2020,ALABAMA,,1,63,41,US HOUSE,,gen,FALSE,FALSE,MO BROOKS,REPUBLICAN,AL,5,FALSE,TOTAL,253094,264160,FALSE,20210604,FALSE,105473048278
2020,ALASKA,,2,94,81,US HOUSE,,gen,FALSE,FALSE,ALYSE S. GALVIN,DEMOCRAT,AK,0,FALSE,TOTAL,159856,353165,FALSE,20210604,FALSE,
2020,ALASKA,,2,94,81,US HOUSE,,gen,FALSE,FALSE,DON YOUNG,REPUBLICAN,AK,0,FALSE,TOTAL,192126,353165,FALSE,20210604,FALSE,1494279480805358
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,TOM OHALLERAN,DEMOCRAT,AZ,1,FALSE,TOTAL,188469,365178,FALSE,20210604,FALSE,746838268687634
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,RAúL M. GRIJALVA,DEMOCRAT,AZ,3,FALSE,TOTAL,174243,269837,FALSE,20210604,FALSE,7707979947
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,DANIEL WOOD,REPUBLICAN,AZ,3,FALSE,TOTAL,95594,269837,FALSE,20210604,FALSE,101238441473432
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,DELINA DISANTO,DEMOCRAT,AZ,4,FALSE,TOTAL,120484,398623,FALSE,20210604,FALSE,326430944546586
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,PAUL A. GOSAR,REPUBLICAN,AZ,4,FALSE,TOTAL,278002,398623,FALSE,20210604,FALSE,148700451434
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,JOAN GREENE,DEMOCRAT,AZ,5,FALSE,TOTAL,183171,445657,FALSE,20210604,FALSE,190543018083996
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,ANDY BIGGS,REPUBLICAN,AZ,5,FALSE,TOTAL,262414,445657,FALSE,20210604,FALSE,183963015310306
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,TIFFANY SHEDD,REPUBLICAN,AZ,1,FALSE,TOTAL,176709,365178,FALSE,20210604,FALSE,1131440700290976
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,ANN KIRKPATRICK,DEMOCRAT,AZ,2,FALSE,TOTAL,209945,381054,FALSE,20210604,FALSE,137746666253194
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,BRANDON MARTIN,REPUBLICAN,AZ,2,FALSE,TOTAL,170975,381054,FALSE,20210604,FALSE,160892854539470
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,RUBEN GALLEGO,DEMOCRAT,AZ,7,FALSE,TOTAL,165452,215732,FALSE,20210604,FALSE,161183970656851
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,JOSHUA BARNETT,REPUBLICAN,AZ,7,FALSE,TOTAL,50226,215732,FALSE,20210604,FALSE,
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,MICHAEL MUSCATO,DEMOCRAT,AZ,8,FALSE,TOTAL,170816,422467,FALSE,20210604,FALSE,1030021013726452
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,DEBBIE LESKO,REPUBLICAN,AZ,8,FALSE,TOTAL,251633,422467,FALSE,20210604,FALSE,1229789977123022
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,GREG STANTON,DEMOCRAT,AZ,9,FALSE,TOTAL,217094,352274,FALSE,20210604,FALSE,
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,DAVE GILES,REPUBLICAN,AZ,9,FALSE,TOTAL,135180,352274,FALSE,20210604,FALSE,1594956587406372
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,HIRAL TIPIRNENI,DEMOCRAT,AZ,6,FALSE,TOTAL,199644,417427,FALSE,20210604,FALSE,497081420632330
2020,ARIZONA,,4,86,61,US HOUSE,,gen,FALSE,FALSE,DAVID SCHWEIKERT,REPUBLICAN,AZ,6,FALSE,TOTAL,217783,417427,FALSE,20210604,FALSE,157652584384932
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,JOYCE ELLIOTT,DEMOCRAT,AR,2,FALSE,TOTAL,148410,332503,FALSE,20210604,FALSE,277414242013
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,WILLIAM H. HANSON,DEMOCRAT,AR,4,FALSE,TOTAL,75750,275035,FALSE,20210604,FALSE,
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,BRUCE WESTERMAN,REPUBLICAN,AR,4,FALSE,TOTAL,191617,275035,FALSE,20210604,FALSE,521924961194913
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,STEVE WOMACK,REPUBLICAN,AR,3,FALSE,TOTAL,214960,334262,FALSE,20210604,FALSE,
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,ERIC A. RICK CRAWFORD,REPUBLICAN,AR,1,FALSE,TOTAL,237596,237596,FALSE,20210604,FALSE,
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,J. FRENCH HILL,REPUBLICAN,AR,2,FALSE,TOTAL,184093,332503,FALSE,20210604,FALSE,1374601146109275
2020,ARKANSAS,,5,71,42,US HOUSE,,gen,FALSE,FALSE,CELESTE WILLIAMS,DEMOCRAT,AR,3,FALSE,TOTAL,106325,334262,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,AUDREY DENNEY,DEMOCRAT,CA,1,FALSE,TOTAL,154073,358263,FALSE,20210604,FALSE,166173897321426
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,DOUG LAMALFA,REPUBLICAN,CA,1,FALSE,TOTAL,204190,358263,FALSE,20210604,FALSE,163202650462603
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JARED HUFFMAN,DEMOCRAT,CA,2,FALSE,TOTAL,294435,388755,FALSE,20210604,FALSE,344330745672593
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,DALE K. MENSING,REPUBLICAN,CA,2,FALSE,TOTAL,94320,388755,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JOHN GARAMENDI,DEMOCRAT,CA,3,FALSE,TOTAL,176043,321988,FALSE,20210604,FALSE,44668548562
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,SCOTT GIBLIN,REPUBLICAN,CA,5,FALSE,TOTAL,85227,356460,FALSE,20210604,FALSE,112596966781954
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,DORIS O. MATSUI,DEMOCRAT,CA,6,FALSE,TOTAL,229648,313114,FALSE,20210604,FALSE,6277148057
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,CHRIS BISH,REPUBLICAN,CA,6,FALSE,TOTAL,83466,313114,FALSE,20210604,FALSE,100140741454415
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,AMI BERA,DEMOCRAT,CA,7,FALSE,TOTAL,217416,383965,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,BUZZ PATTERSON,REPUBLICAN,CA,7,FALSE,TOTAL,166549,383965,FALSE,20210604,FALSE,889301931081806
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,CHRISTINE BUBSER,DEMOCRAT,CA,8,FALSE,TOTAL,124400,283111,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JAY OBERNOLTE,REPUBLICAN,CA,8,FALSE,TOTAL,158711,283111,FALSE,20210604,FALSE,221690171353068
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JERRY MCNERNEY,DEMOCRAT,CA,9,FALSE,TOTAL,174252,302610,FALSE,20210604,FALSE,6553468980
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ANTONIO C. TONY AMADOR,REPUBLICAN,CA,9,FALSE,TOTAL,128358,302610,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JOSH HARDER,DEMOCRAT,CA,10,FALSE,TOTAL,166865,302494,FALSE,20210604,FALSE,1400772006635782
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,RO KHANNA,DEMOCRAT,CA,17,FALSE,TOTAL,212137,297336,FALSE,20210604,FALSE,317667194946264
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,RITESH TANDON,REPUBLICAN,CA,17,FALSE,TOTAL,85199,297336,FALSE,20210604,FALSE,110806357012916
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ANNA G. ESHOO,DEMOCRAT,CA,18,FALSE,TOTAL,217388,344139,FALSE,20210604,FALSE,323937814315116
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,RISHI KUMAR,DEMOCRAT,CA,18,FALSE,TOTAL,126751,344139,FALSE,20210604,FALSE,393656900730519
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ZOE LOFGREN,DEMOCRAT,CA,19,FALSE,TOTAL,224385,313027,FALSE,20210604,FALSE,6540213748
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JUSTIN JAMES AGUILERA,REPUBLICAN,CA,19,FALSE,TOTAL,88642,313027,FALSE,20210604,FALSE,365429820638122
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JIMMY PANETTA,DEMOCRAT,CA,20,FALSE,TOTAL,236896,308554,FALSE,20210604,FALSE,1667702233477156
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JEFF GORMAN,REPUBLICAN,CA,20,FALSE,TOTAL,71658,308554,FALSE,20210604,FALSE,116617476416469
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,TJ COX,DEMOCRAT,CA,21,FALSE,TOTAL,84406,170334,FALSE,20210604,FALSE,243947752771440
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,DAVID G. VALADAO,REPUBLICAN,CA,21,FALSE,TOTAL,85928,170334,FALSE,20210604,FALSE,106005029501370
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,PHIL ARBALLO,DEMOCRAT,CA,22,FALSE,TOTAL,144251,315139,FALSE,20210604,FALSE,219247332354785
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,DEVIN NUNES,REPUBLICAN,CA,22,FALSE,TOTAL,170888,315139,FALSE,20210604,FALSE,834645469890446
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,KIM MANGONE,DEMOCRAT,CA,23,FALSE,TOTAL,115896,306118,FALSE,20210604,FALSE,2339203789732156
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,TAMIKA HAMILTON,REPUBLICAN,CA,3,FALSE,TOTAL,145945,321988,FALSE,20210604,FALSE,102096187807457
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,BRYNNE S. KENNEDY,DEMOCRAT,CA,4,FALSE,TOTAL,194731,442022,FALSE,20210604,FALSE,333081284065216
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,TOM MCCLINTOCK,REPUBLICAN,CA,4,FALSE,TOTAL,247291,442022,FALSE,20210604,FALSE,11234736860
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,MIKE THOMPSON,DEMOCRAT,CA,5,FALSE,TOTAL,271233,356460,FALSE,20210604,FALSE,981697915185101
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,MIKE GARCIA,REPUBLICAN,CA,25,FALSE,TOTAL,169638,338943,FALSE,20210604,FALSE,2116141045107743
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JULIA BROWNLEY,DEMOCRAT,CA,26,FALSE,TOTAL,208856,344733,FALSE,20210604,FALSE,276544112416355
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,RONDA BALDWIN-KENNEDY,REPUBLICAN,CA,26,FALSE,TOTAL,135877,344733,FALSE,20210604,FALSE,157230874952221
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JUDY CHU,DEMOCRAT,CA,27,FALSE,TOTAL,221411,317318,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JOHNNY J. NALBANDIAN,REPUBLICAN,CA,27,FALSE,TOTAL,95907,317318,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ADAM B. SCHIFF,DEMOCRAT,CA,28,FALSE,TOTAL,244271,336199,FALSE,20210604,FALSE,109092142462587
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ERIC EARLY,REPUBLICAN,CA,28,FALSE,TOTAL,91928,336199,FALSE,20210604,FALSE,721000238103165
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,TONY CáRDENAS,DEMOCRAT,CA,29,FALSE,TOTAL,119420,210944,FALSE,20210604,FALSE,1066937120010186
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ANGéLICA MARIA DUEñAS,DEMOCRAT,CA,29,FALSE,TOTAL,91524,210944,FALSE,20210604,FALSE,204623453392865
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,BRAD SHERMAN,DEMOCRAT,CA,30,FALSE,TOTAL,240038,345464,FALSE,20210604,FALSE,6919066482
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,TED HOWZE,REPUBLICAN,CA,10,FALSE,TOTAL,135629,302494,FALSE,20210604,FALSE,374108446391390
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,MARK DESAULNIER,DEMOCRAT,CA,11,FALSE,TOTAL,271063,371356,FALSE,20210604,FALSE,213999292067099
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,NISHA SHARMA,REPUBLICAN,CA,11,FALSE,TOTAL,100293,371356,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,NANCY PELOSI,DEMOCRAT,CA,12,FALSE,TOTAL,281776,362950,FALSE,20210604,FALSE,1711465445765878
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,SHAHID BUTTAR,DEMOCRAT,CA,12,FALSE,TOTAL,81174,362950,FALSE,20210604,FALSE,142370046577999
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,BARBARA LEE,DEMOCRAT,CA,13,FALSE,TOTAL,327863,362818,FALSE,20210604,FALSE,176548369099092
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,NIKKA PITERMAN,REPUBLICAN,CA,13,FALSE,TOTAL,34955,362818,FALSE,20210604,FALSE,2293339640905734
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JACKIE SPEIER,DEMOCRAT,CA,14,FALSE,TOTAL,278300,351005,FALSE,20210604,FALSE,117399465050759
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,RAN S. PETEL,REPUBLICAN,CA,14,FALSE,TOTAL,72705,351005,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ERIC SWALWELL,DEMOCRAT,CA,15,FALSE,TOTAL,242991,342701,FALSE,20210604,FALSE,281835005264380
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ALISON HAYDEN,REPUBLICAN,CA,15,FALSE,TOTAL,99710,342701,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JIM COSTA,DEMOCRAT,CA,16,FALSE,TOTAL,128690,216729,FALSE,20210604,FALSE,704516012940877
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,KEVIN COOKINGHAM,REPUBLICAN,CA,16,FALSE,TOTAL,88039,216729,FALSE,20210604,FALSE,458738021363666
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,KAREN BASS,DEMOCRAT,CA,37,FALSE,TOTAL,254916,296621,FALSE,20210604,FALSE,47918118982
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ERROL WEBBER,REPUBLICAN,CA,37,FALSE,TOTAL,41705,296621,FALSE,20210604,FALSE,1183967518429445
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,LINDA T. SáNCHEZ,DEMOCRAT,CA,38,FALSE,TOTAL,190467,256206,FALSE,20210604,FALSE,29921386086
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,MICHAEL TOLAR,DEMOCRAT,CA,38,FALSE,TOTAL,65739,256206,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,"GILBERT RAY CISNEROS, JR.",DEMOCRAT,CA,39,FALSE,TOTAL,169837,343783,FALSE,20210604,FALSE,402969533432277
