year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified,fb_ad_library_id
2020,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,FALSE,DOUG JONES,DEMOCRAT,FALSE,total,920478,2316445,FALSE,20210114,DEMOCRAT,429812024048177
2020,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,FALSE,TOMMY TUBERVILLE,REPUBLICAN,FALSE,total,1392076,2316445,FALSE,20210114,REPUBLICAN,2225580284361712
2020,ALASKA,AK,2,94,81,US SENATE,statewide,gen,FALSE,AL GROSS,DEMOCRAT,FALSE,total,146068,354587,FALSE,20210114,DEMOCRAT,819607471729183
2020,ALASKA,AK,2,94,81,US SENATE,statewide,gen,FALSE,DAN SULLIVAN,REPUBLICAN,FALSE,total,191112,354587,FALSE,20210114,REPUBLICAN,698400060189827
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,MARTHA MCSALLY,REPUBLICAN,FALSE,total,1637661,3355307,FALSE,20210114,REPUBLICAN,278490715553293
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,MARK KELLY,DEMOCRAT,FALSE,total,1716467,3355307,FALSE,20210114,DEMOCRAT,163148530407080
2020,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,FALSE,TOM COTTON,REPUBLICAN,FALSE,total,793871,1193261,FALSE,20210114,REPUBLICAN,224684514243482
2020,COLORADO,CO,8,84,62,US SENATE,statewide,gen,FALSE,JOHN W. HICKENLOOPER,DEMOCRAT,FALSE,total,1731114,3235790,FALSE,20210114,DEMOCRAT,97493741436
2020,COLORADO,CO,8,84,62,US SENATE,statewide,gen,FALSE,CORY GARDNER,REPUBLICAN,FALSE,total,1429492,3235790,FALSE,20210114,REPUBLICAN,257019421075897
2020,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,FALSE,CHRISTOPHER A. COONS,DEMOCRAT,FALSE,total,291804,490935,FALSE,20210114,DEMOCRAT,7209432197
2020,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,FALSE,LAUREN WITZKE,REPUBLICAN,FALSE,total,186054,490935,FALSE,20210114,REPUBLICAN,100240821517553
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,FALSE,DAVID A. PERDUE,REPUBLICAN,FALSE,total,2462617,4952175,FALSE,20210114,REPUBLICAN,159597424207730
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,FALSE,JON OSSOFF,DEMOCRAT,FALSE,total,2374519,4952175,FALSE,20210114,DEMOCRAT,1336293769761923
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,DOUG COLLINS,REPUBLICAN,FALSE,total,980454,4914361,FALSE,20210114,REPUBLICAN,253791814655400
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,DERRICK E. GRAYSON,REPUBLICAN,FALSE,total,51592,4914361,FALSE,20210114,REPUBLICAN,460645827351818
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,DEBORAH JACKSON,DEMOCRAT,FALSE,total,324118,4914361,FALSE,20210114,DEMOCRAT,
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,JAMESIA JAMES,DEMOCRAT,FALSE,total,94406,4914361,FALSE,20210114,DEMOCRAT,104174864747341
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,TAMARA JOHNSON-SHEALEY,DEMOCRAT,FALSE,total,106767,4914361,FALSE,20210114,DEMOCRAT,
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,MATT LIEBERMAN,DEMOCRAT,FALSE,total,136021,4914361,FALSE,20210114,DEMOCRAT,111702860231554
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,KELLY LOEFFLER,REPUBLICAN,FALSE,total,1273214,4914361,FALSE,20210114,REPUBLICAN,110061623807565
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,RAPHAEL WARNOCK,DEMOCRAT,FALSE,total,1617035,4914361,FALSE,20210114,DEMOCRAT,109111900634787
2020,IDAHO,ID,16,82,63,US SENATE,statewide,gen,FALSE,PAULETTE JORDAN,DEMOCRAT,FALSE,total,285864,859827,FALSE,20210114,DEMOCRAT,271121199639002
2020,IDAHO,ID,16,82,63,US SENATE,statewide,gen,FALSE,JIM RISCH,REPUBLICAN,FALSE,total,538446,859827,FALSE,20210114,REPUBLICAN,10148632367
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,RICHARD J. DURBIN,DEMOCRAT,FALSE,total,3278930,5968901,FALSE,20210114,DEMOCRAT,6170309302
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,MARK C. CURRAN JR.,REPUBLICAN,FALSE,total,2319870,5968901,FALSE,20210114,REPUBLICAN,1544233135795619
