state_po,candidate,party,fb_ad_library_id,notes
AL,Richard Shelby,REPUBLICAN,NA,No ad page -- only an official Senate page (and no advertising can be done there)
AK,Lisa Murkowski,REPUBLICAN,868595699905498,
AZ,Kyrsten Sinema,DEMOCRAT,52563647525,
AR,John Boozman,REPUBLICAN,314808986017,
CA,Dianne Feinstein,DEMOCRAT,6314129300,No ads since 2018
CA,Alex Padilla,DEMOCRAT,471134912978464,"Did not run in 2020 -- was appointed in 2021, following VP Harris's resignation from that Senate seat. He does have ads before this, but they're mostly state-level, and not for his own Senate purposes"
CO,Michael Bennet,DEMOCRAT,57495285387,
CT,Richard Blumenthal,DEMOCRAT,233344132673,
CT,Chris Murphy,DEMOCRAT,19437978960,
DE,Tom Carper,DEMOCRAT,165571920202215,No ads since 2018
FL,Marco Rubio,REPUBLICAN,58736997707,
FL,Rick Scott,REPUBLICAN,113553048669158,
HI,Brian Schatz,DEMOCRAT,58080781287,
HI,Mazie Hirono,DEMOCRAT,13883923426,
ID,Mike Crapo,REPUBLICAN,286049384763373,
IL,Tammy Duckworth,DEMOCRAT,228132537208218,
IN,Todd Young,REPUBLICAN,405355946226766,
IN,Mike Braun,REPUBLICAN,164203030438398,
IA,Chuck Grassley,REPUBLICAN,1626709737546990,
KS,Jerry Moran,REPUBLICAN,NA,No ad page -- only an official Senate page
KY,Rand Paul,REPUBLICAN,54172246106,
LA,John Kennedy,REPUBLICAN,160513344045084,
ME,Angus King,INDEPENDENT,344010372303511,No ads since 2018
MD,Ben Cardin,DEMOCRAT,7945831694,No ads since 2018
MD,Chris Van Hollen,DEMOCRAT,7320486731,
MA,Elizabeth Warren,DEMOCRAT,38471053686,
MI,Debbie Stabenow,DEMOCRAT,8408030527,
MN,Amy Klobuchar,DEMOCRAT,7606381190,
MS,Roger Wicker,REPUBLICAN,6690879844,
MO,Roy Blunt,REPUBLICAN,6541047167,
MO,Josh Hawley,REPUBLICAN,1636216106590980,
MT,Jon Tester,DEMOCRAT,6316744206,
NE,Deb Fischer,REPUBLICAN,109592402468562,
NV,Catherine Cortez Masto,DEMOCRAT,933921763326425,
NV,Jacky Rosen,DEMOCRAT,462669013928631,
NH,Maggie Hassan,DEMOCRAT,134535726580904,
NJ,Bob Menendez,DEMOCRAT,6520632191,No ads since 2018
NM,Martin Heinrich,DEMOCRAT,137363449669160,
NY,Chuck Schumer,DEMOCRAT,828902563856302,
NY,Kirsten Gillibrand,DEMOCRAT,6820348410,
NC,Richard Burr,REPUBLICAN,NA,No ad page -- only an official Senate page
ND,John Hoeven,REPUBLICAN,250633467469,No ads listed in Ad Library
ND,Kevin Cramer,REPUBLICAN,251734676525,
OH,Sherrod Brown,DEMOCRAT,6266829799,
OH,Rob Portman,REPUBLICAN,419067244881558,No ads listed in Ad Library
OK,James Lankford,REPUBLICAN,151092200743,
OR,Ron Wyden,DEMOCRAT,54787697857,
PA,Bob Casey,DEMOCRAT,6781166087,
PA,Pat Toomey,REPUBLICAN,89324781720,
RI,Sheldon Whitehouse,DEMOCRAT,10519905140,No ads since 2018
SC,Tim Scott,REPUBLICAN,349068689306,
SD,John Thune,REPUBLICAN,63002536261,
TN,Marsha Blackburn,REPUBLICAN,143089732792,
TX,Ted Cruz,REPUBLICAN,69983322463,
UT,Mike Lee,REPUBLICAN,203550842430,
UT,Mitt Romney,REPUBLICAN,21392801120,No ads listed in Ad Library
VT,Patrick Leahy,DEMOCRAT,15359195337,
VT,Bernie Sanders,INDEPENDENT,124955570892789,
VA,Tim Kaine,DEMOCRAT,7656215652,No ads since 2018
WA,Patty Murray,DEMOCRAT,131182018871,
WA,Maria Cantwell,DEMOCRAT,9351652533,No ads since 2018
WV,Joe Manchin,DEMOCRAT,225201434308108,No ads since 2018
WI,Ron Johnson,REPUBLICAN,119707748062556,
WI,Tammy Baldwin,DEMOCRAT,7357041101,
WY,John Barrasso,REPUBLICAN,1099779163410380,
WY,Cynthia Lummis,REPUBLICAN,NA,No ad page -- only an official Senate page
