<https://secure.actblue.com/donate/galvinforcongress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/galvinforcongress>; rel="self"; type="application/link-format"; from="Thu, 11 Oct 2018 22:17:28 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/galvinforcongress>; rel="timegate",
<http://web.archive.org/web/20181011221728/https://secure.actblue.com/donate/galvinforcongress>; rel="first memento"; datetime="Thu, 11 Oct 2018 22:17:28 GMT",
<http://web.archive.org/web/20190327093047/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Wed, 27 Mar 2019 09:30:47 GMT",
<http://web.archive.org/web/20190723122754/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Tue, 23 Jul 2019 12:27:54 GMT",
<http://web.archive.org/web/20191122174747/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Fri, 22 Nov 2019 17:47:47 GMT",
<http://web.archive.org/web/20191205101749/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Thu, 05 Dec 2019 10:17:49 GMT",
<http://web.archive.org/web/20200507155535/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Thu, 07 May 2020 15:55:35 GMT",
<http://web.archive.org/web/20200611064115/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Thu, 11 Jun 2020 06:41:15 GMT",
<http://web.archive.org/web/20200611064221/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Thu, 11 Jun 2020 06:42:21 GMT",
<http://web.archive.org/web/20200611064237/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Thu, 11 Jun 2020 06:42:37 GMT",
<http://web.archive.org/web/20200710225513/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Fri, 10 Jul 2020 22:55:13 GMT",
<http://web.archive.org/web/20200816173559/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 16 Aug 2020 17:35:59 GMT",
<http://web.archive.org/web/20200816173600/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 16 Aug 2020 17:36:00 GMT",
<http://web.archive.org/web/20200816173600/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 16 Aug 2020 17:36:00 GMT",
<http://web.archive.org/web/20200816173601/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 16 Aug 2020 17:36:01 GMT",
<http://web.archive.org/web/20200927054723/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 27 Sep 2020 05:47:23 GMT",
<http://web.archive.org/web/20201003061929/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 03 Oct 2020 06:19:29 GMT",
<http://web.archive.org/web/20201003210136/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 03 Oct 2020 21:01:36 GMT",
<http://web.archive.org/web/20201003210137/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 03 Oct 2020 21:01:37 GMT",
<http://web.archive.org/web/20201003210138/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 03 Oct 2020 21:01:38 GMT",
<http://web.archive.org/web/20201009181909/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Fri, 09 Oct 2020 18:19:09 GMT",
<http://web.archive.org/web/20201020032919/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Tue, 20 Oct 2020 03:29:19 GMT",
<http://web.archive.org/web/20201023095947/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Fri, 23 Oct 2020 09:59:47 GMT",
<http://web.archive.org/web/20201031190651/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 31 Oct 2020 19:06:51 GMT",
<http://web.archive.org/web/20201031194557/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 31 Oct 2020 19:45:57 GMT",
<http://web.archive.org/web/20201031194631/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 31 Oct 2020 19:46:31 GMT",
<http://web.archive.org/web/20201031194750/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 31 Oct 2020 19:47:50 GMT",
<http://web.archive.org/web/20201101001409/http://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 01 Nov 2020 00:14:09 GMT",
<http://web.archive.org/web/20201101111621/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 01 Nov 2020 11:16:21 GMT",
<http://web.archive.org/web/20201105060307/http://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Thu, 05 Nov 2020 06:03:07 GMT",
<http://web.archive.org/web/20201120041544/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Fri, 20 Nov 2020 04:15:44 GMT",
<http://web.archive.org/web/20201125023011/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Wed, 25 Nov 2020 02:30:11 GMT",
<http://web.archive.org/web/20201125023428/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Wed, 25 Nov 2020 02:34:28 GMT",
<http://web.archive.org/web/20201205102734/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 05 Dec 2020 10:27:34 GMT",
<http://web.archive.org/web/20201212045449/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sat, 12 Dec 2020 04:54:49 GMT",
<http://web.archive.org/web/20210516090506/https://secure.actblue.com/donate/galvinforcongress>; rel="memento"; datetime="Sun, 16 May 2021 09:05:06 GMT",
