<https://secure.winred.com/jerry-carl-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="self"; type="application/link-format"; from="Thu, 13 Aug 2020 11:43:41 GMT",
<http://web.archive.org/web/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200813114341/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="first memento"; datetime="Thu, 13 Aug 2020 11:43:41 GMT",
<http://web.archive.org/web/20200922143850/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 14:38:50 GMT",
<http://web.archive.org/web/20200924001315/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 00:13:15 GMT",
<http://web.archive.org/web/20200924005356/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 00:53:56 GMT",
<http://web.archive.org/web/20201005020059/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 02:00:59 GMT",
<http://web.archive.org/web/20201014152217/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Wed, 14 Oct 2020 15:22:17 GMT",
<http://web.archive.org/web/20201015105002/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Thu, 15 Oct 2020 10:50:02 GMT",
<http://web.archive.org/web/20201021132322/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 13:23:22 GMT",
<http://web.archive.org/web/20201101013052/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:30:52 GMT",
<http://web.archive.org/web/20201106070403/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:04:03 GMT",
<http://web.archive.org/web/20201125080213/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 08:02:13 GMT",
<http://web.archive.org/web/20201129044541/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Sun, 29 Nov 2020 04:45:41 GMT",
<http://web.archive.org/web/20201212194825/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 19:48:25 GMT",
<http://web.archive.org/web/20210117215409/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 21:54:09 GMT",
<http://web.archive.org/web/20210125011527/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 01:15:27 GMT",
<http://web.archive.org/web/20210423082620/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 08:26:20 GMT",
<http://web.archive.org/web/20210509032750/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Sun, 09 May 2021 03:27:50 GMT",
<http://web.archive.org/web/20211017091935/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 09:19:35 GMT",
<http://web.archive.org/web/20211019230151/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 23:01:51 GMT",
<http://web.archive.org/web/20211020134943/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 13:49:43 GMT",
<http://web.archive.org/web/20211102094840/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Tue, 02 Nov 2021 09:48:40 GMT",
<http://web.archive.org/web/20220301055355/https://secure.winred.com/jerry-carl-for-congress/donate>; rel="memento"; datetime="Tue, 01 Mar 2022 05:53:55 GMT",
