<https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="self"; type="application/link-format"; from="Sun, 16 Aug 2020 17:11:46 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="timegate",
<http://web.archive.org/web/20200816171146/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="first memento"; datetime="Sun, 16 Aug 2020 17:11:46 GMT",
<http://web.archive.org/web/20200816171147/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sun, 16 Aug 2020 17:11:47 GMT",
<http://web.archive.org/web/20200924055330/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Thu, 24 Sep 2020 05:53:30 GMT",
<http://web.archive.org/web/20200926193742/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 26 Sep 2020 19:37:42 GMT",
<http://web.archive.org/web/20201003210028/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 03 Oct 2020 21:00:28 GMT",
<http://web.archive.org/web/20201003210029/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 03 Oct 2020 21:00:29 GMT",
<http://web.archive.org/web/20201003210029/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 03 Oct 2020 21:00:29 GMT",
<http://web.archive.org/web/20201006024331/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Tue, 06 Oct 2020 02:43:31 GMT",
<http://web.archive.org/web/20201023095753/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Fri, 23 Oct 2020 09:57:53 GMT",
<http://web.archive.org/web/20201031181407/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 31 Oct 2020 18:14:07 GMT",
<http://web.archive.org/web/20201031182656/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 31 Oct 2020 18:26:56 GMT",
<http://web.archive.org/web/20201102155834/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Mon, 02 Nov 2020 15:58:34 GMT",
<http://web.archive.org/web/20201205102610/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 05 Dec 2020 10:26:10 GMT",
<http://web.archive.org/web/20201212045327/https://secure.actblue.com/donate/neighborshelpingneighbors>; rel="memento"; datetime="Sat, 12 Dec 2020 04:53:27 GMT",
