<https://secure.winred.com/gary-palmer-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 10 Jul 2020 22:25:20 GMT",
<http://web.archive.org/web/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200710222520/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="first memento"; datetime="Fri, 10 Jul 2020 22:25:20 GMT",
<http://web.archive.org/web/20200816171205/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 17:12:05 GMT",
<http://web.archive.org/web/20200922141657/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 14:16:57 GMT",
<http://web.archive.org/web/20201101012917/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:29:17 GMT",
<http://web.archive.org/web/20201101012924/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:29:24 GMT",
<http://web.archive.org/web/20201101013338/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:33:38 GMT",
<http://web.archive.org/web/20201101013436/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:34:36 GMT",
<http://web.archive.org/web/20201128045328/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 04:53:28 GMT",
<http://web.archive.org/web/20201212195601/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 19:56:01 GMT",
<http://web.archive.org/web/20210125004347/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 00:43:47 GMT",
<http://web.archive.org/web/20210305131305/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Fri, 05 Mar 2021 13:13:05 GMT",
<http://web.archive.org/web/20210422172845/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 17:28:45 GMT",
<http://web.archive.org/web/20210505214452/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Wed, 05 May 2021 21:44:52 GMT",
<http://web.archive.org/web/20210509032311/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 09 May 2021 03:23:11 GMT",
<http://web.archive.org/web/20211022001801/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 00:18:01 GMT",
<http://web.archive.org/web/20211024125201/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Sun, 24 Oct 2021 12:52:01 GMT",
<http://web.archive.org/web/20211028073151/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Thu, 28 Oct 2021 07:31:51 GMT",
<http://web.archive.org/web/20220301062400/https://secure.winred.com/gary-palmer-for-congress/donate>; rel="memento"; datetime="Tue, 01 Mar 2022 06:24:00 GMT",
