<https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 10 Jul 2020 23:12:08 GMT",
<http://web.archive.org/web/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200710231208/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="first memento"; datetime="Fri, 10 Jul 2020 23:12:08 GMT",
<http://web.archive.org/web/20200816174501/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 17:45:01 GMT",
<http://web.archive.org/web/20201005022306/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 02:23:06 GMT",
<http://web.archive.org/web/20201029043428/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 04:34:28 GMT",
<http://web.archive.org/web/20201102023924/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 02:39:24 GMT",
<http://web.archive.org/web/20201102041722/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 04:17:22 GMT",
<http://web.archive.org/web/20201103114919/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 11:49:19 GMT",
<http://web.archive.org/web/20201106065854/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 06:58:54 GMT",
<http://web.archive.org/web/20201106115605/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 11:56:05 GMT",
<http://web.archive.org/web/20201107061308/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:13:08 GMT",
<http://web.archive.org/web/20201212200044/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 20:00:44 GMT",
<http://web.archive.org/web/20210107012009/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Thu, 07 Jan 2021 01:20:09 GMT",
<http://web.archive.org/web/20210421185837/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Wed, 21 Apr 2021 18:58:37 GMT",
<http://web.archive.org/web/20211218185402/https://secure.winred.com/tiffany-shedd-for-congress/donate>; rel="memento"; datetime="Sat, 18 Dec 2021 18:54:02 GMT",
