<https://secure.actblue.com/donate/rg-website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/rg-website>; rel="self"; type="application/link-format"; from="Thu, 26 Sep 2019 22:34:07 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/rg-website>; rel="timegate",
<http://web.archive.org/web/20190926223407/https://secure.actblue.com/donate/rg-website>; rel="first memento"; datetime="Thu, 26 Sep 2019 22:34:07 GMT",
<http://web.archive.org/web/20200710231304/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Fri, 10 Jul 2020 23:13:04 GMT",
<http://web.archive.org/web/20200710231304/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Fri, 10 Jul 2020 23:13:04 GMT",
<http://web.archive.org/web/20200710231305/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Fri, 10 Jul 2020 23:13:05 GMT",
<http://web.archive.org/web/20200728010147/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Tue, 28 Jul 2020 01:01:47 GMT",
<http://web.archive.org/web/20200813153154/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Thu, 13 Aug 2020 15:31:54 GMT",
<http://web.archive.org/web/20200816174538/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 16 Aug 2020 17:45:38 GMT",
<http://web.archive.org/web/20200816174539/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 16 Aug 2020 17:45:39 GMT",
<http://web.archive.org/web/20200816174540/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 16 Aug 2020 17:45:40 GMT",
<http://web.archive.org/web/20200816174540/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 16 Aug 2020 17:45:40 GMT",
<http://web.archive.org/web/20201003210511/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sat, 03 Oct 2020 21:05:11 GMT",
<http://web.archive.org/web/20201003210512/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sat, 03 Oct 2020 21:05:12 GMT",
<http://web.archive.org/web/20201101030012/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 01 Nov 2020 03:00:12 GMT",
<http://web.archive.org/web/20201205103208/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sat, 05 Dec 2020 10:32:08 GMT",
<http://web.archive.org/web/20201212045947/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sat, 12 Dec 2020 04:59:47 GMT",
<http://web.archive.org/web/20210509115736/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 09 May 2021 11:57:36 GMT",
<http://web.archive.org/web/20210805010417/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Thu, 05 Aug 2021 01:04:17 GMT",
<http://web.archive.org/web/20211017185036/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Sun, 17 Oct 2021 18:50:36 GMT",
<http://web.archive.org/web/20211018114656/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Mon, 18 Oct 2021 11:46:56 GMT",
<http://web.archive.org/web/20211020075731/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Wed, 20 Oct 2021 07:57:31 GMT",
<http://web.archive.org/web/20211022194428/https://secure.actblue.com/donate/rg-website>; rel="memento"; datetime="Fri, 22 Oct 2021 19:44:28 GMT",
