<https://secure.winred.com/paul-gosar-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:17 GMT",
<http://web.archive.org/web/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20191014024717/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:17 GMT",
<http://web.archive.org/web/20191014024820/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 14 Oct 2019 02:48:20 GMT",
<http://web.archive.org/web/20191027020958/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Sun, 27 Oct 2019 02:09:58 GMT",
<http://web.archive.org/web/20191220030839/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Fri, 20 Dec 2019 03:08:39 GMT",
<http://web.archive.org/web/20200309222446/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 09 Mar 2020 22:24:46 GMT",
<http://web.archive.org/web/20200309225956/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 09 Mar 2020 22:59:56 GMT",
<http://web.archive.org/web/20200828235643/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Fri, 28 Aug 2020 23:56:43 GMT",
<http://web.archive.org/web/20200922141853/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 14:18:53 GMT",
<http://web.archive.org/web/20201005022744/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 02:27:44 GMT",
<http://web.archive.org/web/20201102023602/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 02:36:02 GMT",
<http://web.archive.org/web/20201102024920/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 02:49:20 GMT",
<http://web.archive.org/web/20201102035845/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 03:58:45 GMT",
<http://web.archive.org/web/20201103191107/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 19:11:07 GMT",
<http://web.archive.org/web/20201105085730/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 08:57:30 GMT",
<http://web.archive.org/web/20201106072239/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:22:39 GMT",
<http://web.archive.org/web/20201106121915/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:19:15 GMT",
<http://web.archive.org/web/20201122113854/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 11:38:54 GMT",
<http://web.archive.org/web/20201122114810/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 11:48:10 GMT",
<http://web.archive.org/web/20201212200329/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 20:03:29 GMT",
<http://web.archive.org/web/20210107012916/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Thu, 07 Jan 2021 01:29:16 GMT",
<http://web.archive.org/web/20210331040347/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:03:47 GMT",
<http://web.archive.org/web/20210416005249/https://secure.winred.com/paul-gosar-for-congress/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:49 GMT",
