<https://secure.actblue.com/donate/joangreenewebsite>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/joangreenewebsite>; rel="self"; type="application/link-format"; from="Thu, 19 Dec 2019 16:22:15 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/joangreenewebsite>; rel="timegate",
<http://web.archive.org/web/20191219162215/https://secure.actblue.com/donate/joangreenewebsite>; rel="first memento"; datetime="Thu, 19 Dec 2019 16:22:15 GMT",
<http://web.archive.org/web/20200422165309/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Wed, 22 Apr 2020 16:53:09 GMT",
<http://web.archive.org/web/20200527212714/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Wed, 27 May 2020 21:27:14 GMT",
<http://web.archive.org/web/20200710231454/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 10 Jul 2020 23:14:54 GMT",
<http://web.archive.org/web/20200710231455/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 10 Jul 2020 23:14:55 GMT",
<http://web.archive.org/web/20200710231455/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 10 Jul 2020 23:14:55 GMT",
<http://web.archive.org/web/20200816174636/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 16 Aug 2020 17:46:36 GMT",
<http://web.archive.org/web/20200816174637/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 16 Aug 2020 17:46:37 GMT",
<http://web.archive.org/web/20200816174638/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 16 Aug 2020 17:46:38 GMT",
<http://web.archive.org/web/20200816174639/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 16 Aug 2020 17:46:39 GMT",
<http://web.archive.org/web/20201003045245/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 03 Oct 2020 04:52:45 GMT",
<http://web.archive.org/web/20201003210722/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 03 Oct 2020 21:07:22 GMT",
<http://web.archive.org/web/20201003210730/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 03 Oct 2020 21:07:30 GMT",
<http://web.archive.org/web/20201003210731/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 03 Oct 2020 21:07:31 GMT",
<http://web.archive.org/web/20201003210732/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 03 Oct 2020 21:07:32 GMT",
<http://web.archive.org/web/20201023100746/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 23 Oct 2020 10:07:46 GMT",
<http://web.archive.org/web/20201101020333/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 01 Nov 2020 02:03:33 GMT",
<http://web.archive.org/web/20201101022104/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 01 Nov 2020 02:21:04 GMT",
<http://web.archive.org/web/20201101025247/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 01 Nov 2020 02:52:47 GMT",
<http://web.archive.org/web/20201101025603/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 01 Nov 2020 02:56:03 GMT",
<http://web.archive.org/web/20201205103510/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 05 Dec 2020 10:35:10 GMT",
<http://web.archive.org/web/20201212050230/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 12 Dec 2020 05:02:30 GMT",
<http://web.archive.org/web/20210509115333/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sun, 09 May 2021 11:53:33 GMT",
<http://web.archive.org/web/20210519043411/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Wed, 19 May 2021 04:34:11 GMT",
<http://web.archive.org/web/20210911175203/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Sat, 11 Sep 2021 17:52:03 GMT",
<http://web.archive.org/web/20211022045534/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 22 Oct 2021 04:55:34 GMT",
<http://web.archive.org/web/20211112023153/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 12 Nov 2021 02:31:53 GMT",
<http://web.archive.org/web/20220211170058/https://secure.actblue.com/donate/joangreenewebsite>; rel="memento"; datetime="Fri, 11 Feb 2022 17:00:58 GMT",
