<https://secure.actblue.com/donate/hiraltipirneni>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/hiraltipirneni>; rel="self"; type="application/link-format"; from="Sat, 20 Apr 2019 06:07:45 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/hiraltipirneni>; rel="timegate",
<http://web.archive.org/web/20190420060745/https://secure.actblue.com/donate/hiraltipirneni>; rel="first memento"; datetime="Sat, 20 Apr 2019 06:07:45 GMT",
<http://web.archive.org/web/20200505102030/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Tue, 05 May 2020 10:20:30 GMT",
<http://web.archive.org/web/20200625231656/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Thu, 25 Jun 2020 23:16:56 GMT",
<http://web.archive.org/web/20200710231527/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Fri, 10 Jul 2020 23:15:27 GMT",
<http://web.archive.org/web/20200805072018/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Wed, 05 Aug 2020 07:20:18 GMT",
<http://web.archive.org/web/20200805072020/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Wed, 05 Aug 2020 07:20:20 GMT",
<http://web.archive.org/web/20200816174651/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 16 Aug 2020 17:46:51 GMT",
<http://web.archive.org/web/20200816174653/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 16 Aug 2020 17:46:53 GMT",
<http://web.archive.org/web/20200906201258/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 06 Sep 2020 20:12:58 GMT",
<http://web.archive.org/web/20200926050245/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 26 Sep 2020 05:02:45 GMT",
<http://web.archive.org/web/20201001222000/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Thu, 01 Oct 2020 22:20:00 GMT",
<http://web.archive.org/web/20201001222719/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Thu, 01 Oct 2020 22:27:19 GMT",
<http://web.archive.org/web/20201001222749/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Thu, 01 Oct 2020 22:27:49 GMT",
<http://web.archive.org/web/20201003210840/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 03 Oct 2020 21:08:40 GMT",
<http://web.archive.org/web/20201003210840/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 03 Oct 2020 21:08:40 GMT",
<http://web.archive.org/web/20201003210841/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sat, 03 Oct 2020 21:08:41 GMT",
<http://web.archive.org/web/20201020032744/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Tue, 20 Oct 2020 03:27:44 GMT",
<http://web.archive.org/web/20201023100929/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Fri, 23 Oct 2020 10:09:29 GMT",
<http://web.archive.org/web/20201101015108/https://secure.actblue.com/donate/hiraltipirneni>; rel="memento"; datetime="Sun, 01 Nov 2020 01:51:08 GMT",
