<https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="original",
<http://web.archive.org/web/timemap/link/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="self"; type="application/link-format"; from="Tue, 26 Oct 2010 17:33:26 GMT",
<http://web.archive.org/web/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="timegate",
<http://web.archive.org/web/20101026173326/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="first memento"; datetime="Tue, 26 Oct 2010 17:33:26 GMT",
<http://web.archive.org/web/20101103135652/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 03 Nov 2010 13:56:52 GMT",
<http://web.archive.org/web/20101106112259/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 06 Nov 2010 11:22:59 GMT",
<http://web.archive.org/web/20101106142540/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 06 Nov 2010 14:25:40 GMT",
<http://web.archive.org/web/20101113074456/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 13 Nov 2010 07:44:56 GMT",
<http://web.archive.org/web/20101121011327/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 21 Nov 2010 01:13:27 GMT",
<http://web.archive.org/web/20101126194519/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 26 Nov 2010 19:45:19 GMT",
<http://web.archive.org/web/20101203130844/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 03 Dec 2010 13:08:44 GMT",
<http://web.archive.org/web/20101206212756/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Mon, 06 Dec 2010 21:27:56 GMT",
<http://web.archive.org/web/20101231041256/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 31 Dec 2010 04:12:56 GMT",
<http://web.archive.org/web/20101231055827/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 31 Dec 2010 05:58:27 GMT",
<http://web.archive.org/web/20110101200613/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 01 Jan 2011 20:06:13 GMT",
<http://web.archive.org/web/20110109032732/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 09 Jan 2011 03:27:32 GMT",
<http://web.archive.org/web/20110208221435/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 08 Feb 2011 22:14:35 GMT",
<http://web.archive.org/web/20110302132114/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 02 Mar 2011 13:21:14 GMT",
<http://web.archive.org/web/20110325131644/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 25 Mar 2011 13:16:44 GMT",
<http://web.archive.org/web/20110410140034/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 10 Apr 2011 14:00:34 GMT",
<http://web.archive.org/web/20110414184159/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 14 Apr 2011 18:41:59 GMT",
<http://web.archive.org/web/20110518095426/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 18 May 2011 09:54:26 GMT",
<http://web.archive.org/web/20110525105904/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 25 May 2011 10:59:04 GMT",
<http://web.archive.org/web/20110601094409/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 01 Jun 2011 09:44:09 GMT",
<http://web.archive.org/web/20110616005603/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 16 Jun 2011 00:56:03 GMT",
<http://web.archive.org/web/20110802235553/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 02 Aug 2011 23:55:53 GMT",
<http://web.archive.org/web/20110809211932/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 09 Aug 2011 21:19:32 GMT",
<http://web.archive.org/web/20110813131351/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 13 Aug 2011 13:13:51 GMT",
<http://web.archive.org/web/20110921114412/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 21 Sep 2011 11:44:12 GMT",
<http://web.archive.org/web/20110928162134/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 28 Sep 2011 16:21:34 GMT",
<http://web.archive.org/web/20111004235552/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 04 Oct 2011 23:55:52 GMT",
<http://web.archive.org/web/20111129131521/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 29 Nov 2011 13:15:21 GMT",
<http://web.archive.org/web/20120118044021/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 18 Jan 2012 04:40:21 GMT",
<http://web.archive.org/web/20120312045806/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Mon, 12 Mar 2012 04:58:06 GMT",
<http://web.archive.org/web/20120502224817/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 02 May 2012 22:48:17 GMT",
<http://web.archive.org/web/20120517153346/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 17 May 2012 15:33:46 GMT",
<http://web.archive.org/web/20120521234227/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Mon, 21 May 2012 23:42:27 GMT",
<http://web.archive.org/web/20120628015427/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 28 Jun 2012 01:54:27 GMT",
<http://web.archive.org/web/20120710210004/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 10 Jul 2012 21:00:04 GMT",
<http://web.archive.org/web/20120718045221/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 18 Jul 2012 04:52:21 GMT",
<http://web.archive.org/web/20120815131007/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 15 Aug 2012 13:10:07 GMT",
<http://web.archive.org/web/20120917181121/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Mon, 17 Sep 2012 18:11:21 GMT",
<http://web.archive.org/web/20121127141458/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 27 Nov 2012 14:14:58 GMT",
<http://web.archive.org/web/20121212042926/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 12 Dec 2012 04:29:26 GMT",
<http://web.archive.org/web/20121213113612/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 13 Dec 2012 11:36:12 GMT",
<http://web.archive.org/web/20121223090938/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 23 Dec 2012 09:09:38 GMT",
<http://web.archive.org/web/20130113134353/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 13 Jan 2013 13:43:53 GMT",
<http://web.archive.org/web/20130127062850/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 27 Jan 2013 06:28:50 GMT",
<http://web.archive.org/web/20130215235637/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 15 Feb 2013 23:56:37 GMT",
<http://web.archive.org/web/20130415150704/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Mon, 15 Apr 2013 15:07:04 GMT",
<http://web.archive.org/web/20130529020159/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 29 May 2013 02:01:59 GMT",
<http://web.archive.org/web/20130615150829/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 15 Jun 2013 15:08:29 GMT",
<http://web.archive.org/web/20130726080941/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 26 Jul 2013 08:09:41 GMT",
<http://web.archive.org/web/20130815230459/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 15 Aug 2013 23:04:59 GMT",
<http://web.archive.org/web/20131016232828/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 16 Oct 2013 23:28:28 GMT",
<http://web.archive.org/web/20131101025556/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 01 Nov 2013 02:55:56 GMT",
<http://web.archive.org/web/20140228233638/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 28 Feb 2014 23:36:38 GMT",
<http://web.archive.org/web/20140606055842/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Fri, 06 Jun 2014 05:58:42 GMT",
<http://web.archive.org/web/20140621153243/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sat, 21 Jun 2014 15:32:43 GMT",
<http://web.archive.org/web/20140625143144/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Wed, 25 Jun 2014 14:31:44 GMT",
<http://web.archive.org/web/20140831144006/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Sun, 31 Aug 2014 14:40:06 GMT",
<http://web.archive.org/web/20140908122359/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Mon, 08 Sep 2014 12:23:59 GMT",
<http://web.archive.org/web/20141106010434/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 06 Nov 2014 01:04:34 GMT",
<http://web.archive.org/web/20141204021207/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 04 Dec 2014 02:12:07 GMT",
<http://web.archive.org/web/20141218182342/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Thu, 18 Dec 2014 18:23:42 GMT",
<http://web.archive.org/web/20150106044548/https://simplecheckout.authorize.net/payment/CatalogPayment.aspx>; rel="memento"; datetime="Tue, 06 Jan 2015 04:45:48 GMT",
