<https://act.myngp.com/Forms/5698309771284056064>; rel="original",
<http://web.archive.org/web/timemap/link/https://act.myngp.com/Forms/5698309771284056064>; rel="self"; type="application/link-format"; from="Fri, 14 Aug 2015 16:17:33 GMT",
<http://web.archive.org/web/https://act.myngp.com/Forms/5698309771284056064>; rel="timegate",
<http://web.archive.org/web/20150814161733/https://act.myngp.com/Forms/5698309771284056064>; rel="first memento"; datetime="Fri, 14 Aug 2015 16:17:33 GMT",
<http://web.archive.org/web/20150928012424/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Mon, 28 Sep 2015 01:24:24 GMT",
<http://web.archive.org/web/20160112063817/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Tue, 12 Jan 2016 06:38:17 GMT",
<http://web.archive.org/web/20160312091209/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sat, 12 Mar 2016 09:12:09 GMT",
<http://web.archive.org/web/20160323165617/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Wed, 23 Mar 2016 16:56:17 GMT",
<http://web.archive.org/web/20160923203522/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Fri, 23 Sep 2016 20:35:22 GMT",
<http://web.archive.org/web/20161006183107/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Thu, 06 Oct 2016 18:31:07 GMT",
<http://web.archive.org/web/20161009160237/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sun, 09 Oct 2016 16:02:37 GMT",
<http://web.archive.org/web/20161011212752/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Tue, 11 Oct 2016 21:27:52 GMT",
<http://web.archive.org/web/20161019170630/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Wed, 19 Oct 2016 17:06:30 GMT",
<http://web.archive.org/web/20161023021900/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sun, 23 Oct 2016 02:19:00 GMT",
<http://web.archive.org/web/20161029002802/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sat, 29 Oct 2016 00:28:02 GMT",
<http://web.archive.org/web/20180817111447/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Fri, 17 Aug 2018 11:14:47 GMT",
<http://web.archive.org/web/20190926230101/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Thu, 26 Sep 2019 23:01:01 GMT",
<http://web.archive.org/web/20200816204908/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:08 GMT",
<http://web.archive.org/web/20201005024222/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Mon, 05 Oct 2020 02:42:22 GMT",
<http://web.archive.org/web/20201030123740/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Fri, 30 Oct 2020 12:37:40 GMT",
<http://web.archive.org/web/20201103193704/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Tue, 03 Nov 2020 19:37:04 GMT",
<http://web.archive.org/web/20201212201610/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sat, 12 Dec 2020 20:16:10 GMT",
<http://web.archive.org/web/20210509031156/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sun, 09 May 2021 03:11:56 GMT",
<http://web.archive.org/web/20210514032504/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Fri, 14 May 2021 03:25:04 GMT",
<http://web.archive.org/web/20211019182906/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Tue, 19 Oct 2021 18:29:06 GMT",
<http://web.archive.org/web/20211020125836/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Wed, 20 Oct 2021 12:58:36 GMT",
<http://web.archive.org/web/20211021194226/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Thu, 21 Oct 2021 19:42:26 GMT",
<http://web.archive.org/web/20220220235029/https://act.myngp.com/Forms/5698309771284056064>; rel="memento"; datetime="Sun, 20 Feb 2022 23:50:29 GMT",
