<https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="self"; type="application/link-format"; from="Wed, 07 Aug 2019 00:23:29 GMT",
<http://web.archive.org/web/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="timegate",
<http://web.archive.org/web/20190807002329/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="first memento"; datetime="Wed, 07 Aug 2019 00:23:29 GMT",
<http://web.archive.org/web/20200613025239/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 13 Jun 2020 02:52:39 GMT",
<http://web.archive.org/web/20200711041334/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 11 Jul 2020 04:13:34 GMT",
<http://web.archive.org/web/20200808102810/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 08 Aug 2020 10:28:10 GMT",
<http://web.archive.org/web/20200816204928/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:28 GMT",
<http://web.archive.org/web/20201004211729/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sun, 04 Oct 2020 21:17:29 GMT",
<http://web.archive.org/web/20201024232934/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 24 Oct 2020 23:29:34 GMT",
<http://web.archive.org/web/20201031053106/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 31 Oct 2020 05:31:06 GMT",
<http://web.archive.org/web/20201101091851/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sun, 01 Nov 2020 09:18:51 GMT",
<http://web.archive.org/web/20201104051701/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Wed, 04 Nov 2020 05:17:01 GMT",
<http://web.archive.org/web/20201113163520/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Fri, 13 Nov 2020 16:35:20 GMT",
<http://web.archive.org/web/20201116131318/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Mon, 16 Nov 2020 13:13:18 GMT",
<http://web.archive.org/web/20201121211428/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 21 Nov 2020 21:14:28 GMT",
<http://web.archive.org/web/20201204181817/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Fri, 04 Dec 2020 18:18:17 GMT",
<http://web.archive.org/web/20201212144852/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 12 Dec 2020 14:48:52 GMT",
<http://web.archive.org/web/20210121185915/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Thu, 21 Jan 2021 18:59:15 GMT",
<http://web.archive.org/web/20210227165422/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 27 Feb 2021 16:54:22 GMT",
<http://web.archive.org/web/20210411194958/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sun, 11 Apr 2021 19:49:58 GMT",
<http://web.archive.org/web/20210501034541/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sat, 01 May 2021 03:45:41 GMT",
<http://web.archive.org/web/20210506134600/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Thu, 06 May 2021 13:46:00 GMT",
<http://web.archive.org/web/20210509055038/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sun, 09 May 2021 05:50:38 GMT",
<http://web.archive.org/web/20210613062145/https://secure.anedot.com/tamika-hamilton-for-congress/contribute>; rel="memento"; datetime="Sun, 13 Jun 2021 06:21:45 GMT",
<http://web.archive.org/web/20210618191914/https://secure.anedot.com/tamika-hamilton-for-congress/contribute/>; rel="memento"; datetime="Fri, 18 Jun 2021 19:19:14 GMT",
<http://web.archive.org/web/20211017075645/https://secure.anedot.com/tamika-hamilton-for-congress/contribute/>; rel="memento"; datetime="Sun, 17 Oct 2021 07:56:45 GMT",
<http://web.archive.org/web/20211017214549/https://secure.anedot.com/tamika-hamilton-for-congress/contribute/>; rel="memento"; datetime="Sun, 17 Oct 2021 21:45:49 GMT",
<http://web.archive.org/web/20211019215119/https://secure.anedot.com/tamika-hamilton-for-congress/contribute/>; rel="memento"; datetime="Tue, 19 Oct 2021 21:51:19 GMT",
<http://web.archive.org/web/20211020100309/https://secure.anedot.com/tamika-hamilton-for-congress/contribute/>; rel="memento"; datetime="Wed, 20 Oct 2021 10:03:09 GMT",
<http://web.archive.org/web/20211127235527/https://secure.anedot.com/tamika-hamilton-for-congress/contribute/>; rel="memento"; datetime="Sat, 27 Nov 2021 23:55:27 GMT",
