<https://secure.actblue.com/donate/brynne_website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/brynne_website>; rel="self"; type="application/link-format"; from="Sun, 29 Dec 2019 10:31:42 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/brynne_website>; rel="timegate",
<http://web.archive.org/web/20191229103142/https://secure.actblue.com/donate/brynne_website>; rel="first memento"; datetime="Sun, 29 Dec 2019 10:31:42 GMT",
<http://web.archive.org/web/20200424011409/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Fri, 24 Apr 2020 01:14:09 GMT",
<http://web.archive.org/web/20200430002145/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Thu, 30 Apr 2020 00:21:45 GMT",
<http://web.archive.org/web/20200816204951/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:51 GMT",
<http://web.archive.org/web/20200816204951/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:51 GMT",
<http://web.archive.org/web/20200816204954/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:54 GMT",
<http://web.archive.org/web/20200816204954/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:54 GMT",
<http://web.archive.org/web/20201003125539/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 03 Oct 2020 12:55:39 GMT",
<http://web.archive.org/web/20201003211641/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 03 Oct 2020 21:16:41 GMT",
<http://web.archive.org/web/20201003211642/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 03 Oct 2020 21:16:42 GMT",
<http://web.archive.org/web/20201003211643/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 03 Oct 2020 21:16:43 GMT",
<http://web.archive.org/web/20201020032721/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Tue, 20 Oct 2020 03:27:21 GMT",
<http://web.archive.org/web/20201023102222/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Fri, 23 Oct 2020 10:22:22 GMT",
<http://web.archive.org/web/20201030014444/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Fri, 30 Oct 2020 01:44:44 GMT",
<http://web.archive.org/web/20201101060134/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sun, 01 Nov 2020 06:01:34 GMT",
<http://web.archive.org/web/20201103190806/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Tue, 03 Nov 2020 19:08:06 GMT",
<http://web.archive.org/web/20201103191110/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Tue, 03 Nov 2020 19:11:10 GMT",
<http://web.archive.org/web/20201106160220/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Fri, 06 Nov 2020 16:02:20 GMT",
<http://web.archive.org/web/20201107051715/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 07 Nov 2020 05:17:15 GMT",
<http://web.archive.org/web/20201107052201/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 07 Nov 2020 05:22:01 GMT",
<http://web.archive.org/web/20201107052758/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 07 Nov 2020 05:27:58 GMT",
<http://web.archive.org/web/20201111204506/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Wed, 11 Nov 2020 20:45:06 GMT",
<http://web.archive.org/web/20201205104853/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 05 Dec 2020 10:48:53 GMT",
<http://web.archive.org/web/20201212051502/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sat, 12 Dec 2020 05:15:02 GMT",
<http://web.archive.org/web/20210430172930/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Fri, 30 Apr 2021 17:29:30 GMT",
<http://web.archive.org/web/20210509114759/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Sun, 09 May 2021 11:47:59 GMT",
<http://web.archive.org/web/20210813201020/https://secure.actblue.com/donate/brynne_website>; rel="memento"; datetime="Fri, 13 Aug 2021 20:10:20 GMT",
