<https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="self"; type="application/link-format"; from="Tue, 27 Jun 2017 20:31:12 GMT",
<http://web.archive.org/web/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="timegate",
<http://web.archive.org/web/20170627203112/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="first memento"; datetime="Tue, 27 Jun 2017 20:31:12 GMT",
<http://web.archive.org/web/20180511121639/http://www.efundraisingconnections.com:80/c/TomMcClintock/>; rel="memento"; datetime="Fri, 11 May 2018 12:16:39 GMT",
<http://web.archive.org/web/20180711054344/http://www.efundraisingconnections.com:80/c/TomMcClintock/>; rel="memento"; datetime="Wed, 11 Jul 2018 05:43:44 GMT",
<http://web.archive.org/web/20180817170003/http://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Fri, 17 Aug 2018 17:00:03 GMT",
<http://web.archive.org/web/20180910150512/http://www.efundraisingconnections.com:80/c/TomMcClintock/>; rel="memento"; datetime="Mon, 10 Sep 2018 15:05:12 GMT",
<http://web.archive.org/web/20181005195845/http://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Fri, 05 Oct 2018 19:58:45 GMT",
<http://web.archive.org/web/20181005230852/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Fri, 05 Oct 2018 23:08:52 GMT",
<http://web.archive.org/web/20181017152456/http://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Wed, 17 Oct 2018 15:24:56 GMT",
<http://web.archive.org/web/20181023202727/http://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Tue, 23 Oct 2018 20:27:27 GMT",
<http://web.archive.org/web/20181111135757/http://www.efundraisingconnections.com:80/c/TomMcClintock/>; rel="memento"; datetime="Sun, 11 Nov 2018 13:57:57 GMT",
<http://web.archive.org/web/20200611002039/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Thu, 11 Jun 2020 00:20:39 GMT",
<http://web.archive.org/web/20200619000152/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Fri, 19 Jun 2020 00:01:52 GMT",
<http://web.archive.org/web/20200622072120/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Mon, 22 Jun 2020 07:21:20 GMT",
<http://web.archive.org/web/20200711041325/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:13:25 GMT",
<http://web.archive.org/web/20200711041327/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:13:27 GMT",
<http://web.archive.org/web/20200810215318/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Mon, 10 Aug 2020 21:53:18 GMT",
<http://web.archive.org/web/20200923124547/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Wed, 23 Sep 2020 12:45:47 GMT",
<http://web.archive.org/web/20201005024516/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Mon, 05 Oct 2020 02:45:16 GMT",
<http://web.archive.org/web/20201005024530/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Mon, 05 Oct 2020 02:45:30 GMT",
<http://web.archive.org/web/20201029164351/https://www.efundraisingconnections.com/c/TomMcClintock/>; rel="memento"; datetime="Thu, 29 Oct 2020 16:43:51 GMT",
