<http://www.mikethompsonforcongress.com:80/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.mikethompsonforcongress.com/donate>; rel="self"; type="application/link-format"; from="Tue, 08 Aug 2017 18:20:22 GMT",
<http://web.archive.org/web/https://www.mikethompsonforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20170808182022/http://www.mikethompsonforcongress.com:80/donate>; rel="first memento"; datetime="Tue, 08 Aug 2017 18:20:22 GMT",
<http://web.archive.org/web/20171012202746/http://www.mikethompsonforcongress.com:80/donate>; rel="memento"; datetime="Thu, 12 Oct 2017 20:27:46 GMT",
<http://web.archive.org/web/20180407044227/http://www.mikethompsonforcongress.com:80/donate>; rel="memento"; datetime="Sat, 07 Apr 2018 04:42:27 GMT",
<http://web.archive.org/web/20180608224045/http://www.mikethompsonforcongress.com:80/donate>; rel="memento"; datetime="Fri, 08 Jun 2018 22:40:45 GMT",
<http://web.archive.org/web/20180809021440/http://www.mikethompsonforcongress.com:80/donate>; rel="memento"; datetime="Thu, 09 Aug 2018 02:14:40 GMT",
<http://web.archive.org/web/20181005195912/http://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Fri, 05 Oct 2018 19:59:12 GMT",
<http://web.archive.org/web/20181017153331/http://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Wed, 17 Oct 2018 15:33:31 GMT",
<http://web.archive.org/web/20181023204131/http://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Tue, 23 Oct 2018 20:41:31 GMT",
<http://web.archive.org/web/20181024010231/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Wed, 24 Oct 2018 01:02:31 GMT",
<http://web.archive.org/web/20181025211045/http://www.mikethompsonforcongress.com:80/donate>; rel="memento"; datetime="Thu, 25 Oct 2018 21:10:45 GMT",
<http://web.archive.org/web/20190929170951/http://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sun, 29 Sep 2019 17:09:51 GMT",
<http://web.archive.org/web/20191212015912/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Thu, 12 Dec 2019 01:59:12 GMT",
<http://web.archive.org/web/20200711041454/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 04:14:54 GMT",
<http://web.archive.org/web/20200807053138/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 05:31:38 GMT",
<http://web.archive.org/web/20200815131544/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sat, 15 Aug 2020 13:15:44 GMT",
<http://web.archive.org/web/20200816204953/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 20:49:53 GMT",
<http://web.archive.org/web/20200923055020/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Wed, 23 Sep 2020 05:50:20 GMT",
<http://web.archive.org/web/20201005024633/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 02:46:33 GMT",
<http://web.archive.org/web/20201106010248/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 01:02:48 GMT",
<http://web.archive.org/web/20201129100231/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sun, 29 Nov 2020 10:02:31 GMT",
<http://web.archive.org/web/20201212201925/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 20:19:25 GMT",
<http://web.archive.org/web/20210117023635/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 02:36:35 GMT",
<http://web.archive.org/web/20210225214953/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 21:49:53 GMT",
<http://web.archive.org/web/20210418110704/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sun, 18 Apr 2021 11:07:04 GMT",
<http://web.archive.org/web/20210617045805/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Thu, 17 Jun 2021 04:58:05 GMT",
<http://web.archive.org/web/20211017153036/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 15:30:36 GMT",
<http://web.archive.org/web/20211018075824/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 07:58:24 GMT",
<http://web.archive.org/web/20211019022820/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 02:28:20 GMT",
<http://web.archive.org/web/20211020042513/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 04:25:13 GMT",
<http://web.archive.org/web/20220214101239/https://www.mikethompsonforcongress.com/donate>; rel="memento"; datetime="Mon, 14 Feb 2022 10:12:39 GMT",
