<https://secure.anedot.com/buzz-patterson/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/buzz-patterson/donate>; rel="self"; type="application/link-format"; from="Wed, 03 Jul 2019 22:33:13 GMT",
<http://web.archive.org/web/https://secure.anedot.com/buzz-patterson/donate>; rel="timegate",
<http://web.archive.org/web/20190703223313/https://secure.anedot.com/buzz-patterson/donate>; rel="first memento"; datetime="Wed, 03 Jul 2019 22:33:13 GMT",
<http://web.archive.org/web/20191125084919/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Mon, 25 Nov 2019 08:49:19 GMT",
<http://web.archive.org/web/20191229010054/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 29 Dec 2019 01:00:54 GMT",
<http://web.archive.org/web/20200414165849/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Tue, 14 Apr 2020 16:58:49 GMT",
<http://web.archive.org/web/20200517015154/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 17 May 2020 01:51:54 GMT",
<http://web.archive.org/web/20200814031607/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 14 Aug 2020 03:16:07 GMT",
<http://web.archive.org/web/20200814233408/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 14 Aug 2020 23:34:08 GMT",
<http://web.archive.org/web/20200903020421/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Thu, 03 Sep 2020 02:04:21 GMT",
<http://web.archive.org/web/20200920045922/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 04:59:22 GMT",
<http://web.archive.org/web/20201004082358/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 08:23:58 GMT",
<http://web.archive.org/web/20201004212001/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 21:20:01 GMT",
<http://web.archive.org/web/20201024233231/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 24 Oct 2020 23:32:31 GMT",
<http://web.archive.org/web/20201106170721/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 17:07:21 GMT",
<http://web.archive.org/web/20201106170856/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 17:08:56 GMT",
<http://web.archive.org/web/20201107003755/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 00:37:55 GMT",
<http://web.archive.org/web/20201107022019/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 02:20:19 GMT",
<http://web.archive.org/web/20201107073541/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 07:35:41 GMT",
<http://web.archive.org/web/20201107073811/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 07:38:11 GMT",
<http://web.archive.org/web/20201107081148/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 08:11:48 GMT",
<http://web.archive.org/web/20201107164506/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 16:45:06 GMT",
<http://web.archive.org/web/20201109165648/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 16:56:48 GMT",
<http://web.archive.org/web/20201114032052/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 03:20:52 GMT",
<http://web.archive.org/web/20201114032056/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 03:20:56 GMT",
<http://web.archive.org/web/20201125030016/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 03:00:16 GMT",
<http://web.archive.org/web/20201212145241/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 14:52:41 GMT",
<http://web.archive.org/web/20210117160402/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 16:04:02 GMT",
<http://web.archive.org/web/20210201235859/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Mon, 01 Feb 2021 23:58:59 GMT",
<http://web.archive.org/web/20210217200211/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Wed, 17 Feb 2021 20:02:11 GMT",
<http://web.archive.org/web/20210226132017/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 26 Feb 2021 13:20:17 GMT",
<http://web.archive.org/web/20210311024736/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Thu, 11 Mar 2021 02:47:36 GMT",
<http://web.archive.org/web/20210331040335/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:03:35 GMT",
<http://web.archive.org/web/20210416005217/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:17 GMT",
<http://web.archive.org/web/20210420010618/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Tue, 20 Apr 2021 01:06:18 GMT",
<http://web.archive.org/web/20210507191312/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Fri, 07 May 2021 19:13:12 GMT",
<http://web.archive.org/web/20210614151441/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Mon, 14 Jun 2021 15:14:41 GMT",
<http://web.archive.org/web/20211017075744/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 07:57:44 GMT",
<http://web.archive.org/web/20211017215029/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 21:50:29 GMT",
<http://web.archive.org/web/20211019215121/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 21:51:21 GMT",
<http://web.archive.org/web/20211020125224/https://secure.anedot.com/buzz-patterson/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 12:52:24 GMT",
