<https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 05:13:47 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20190508051347/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="first memento"; datetime="Wed, 08 May 2019 05:13:47 GMT",
<http://web.archive.org/web/20190508100430/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Wed, 08 May 2019 10:04:30 GMT",
<http://web.archive.org/web/20200126194207/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sun, 26 Jan 2020 19:42:07 GMT",
<http://web.archive.org/web/20200504211717/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Mon, 04 May 2020 21:17:17 GMT",
<http://web.archive.org/web/20200524201422/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sun, 24 May 2020 20:14:22 GMT",
<http://web.archive.org/web/20200924013750/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Thu, 24 Sep 2020 01:37:50 GMT",
<http://web.archive.org/web/20200928064516/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:45:16 GMT",
<http://web.archive.org/web/20201003090441/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 09:04:41 GMT",
<http://web.archive.org/web/20201003212008/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 21:20:08 GMT",
<http://web.archive.org/web/20201003212009/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 21:20:09 GMT",
<http://web.archive.org/web/20201003212010/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 21:20:10 GMT",
<http://web.archive.org/web/20201005212420/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Mon, 05 Oct 2020 21:24:20 GMT",
<http://web.archive.org/web/20201023102804/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Fri, 23 Oct 2020 10:28:04 GMT",
<http://web.archive.org/web/20201101031245/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 03:12:45 GMT",
<http://web.archive.org/web/20201103191005/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Tue, 03 Nov 2020 19:10:05 GMT",
<http://web.archive.org/web/20201107055158/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 07 Nov 2020 05:51:58 GMT",
<http://web.archive.org/web/20201205105311/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 05 Dec 2020 10:53:11 GMT",
<http://web.archive.org/web/20201212051906/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 05:19:06 GMT",
<http://web.archive.org/web/20210506105528/https://secure.actblue.com/donate/chris-bubser-for-congress-1>; rel="memento"; datetime="Thu, 06 May 2021 10:55:28 GMT",
