<https://secure.winred.com/JayObernolte/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/JayObernolte/donate>; rel="self"; type="application/link-format"; from="Wed, 19 Feb 2020 01:06:30 GMT",
<http://web.archive.org/web/https://secure.winred.com/JayObernolte/donate>; rel="timegate",
<http://web.archive.org/web/20200219010630/https://secure.winred.com/JayObernolte/donate>; rel="first memento"; datetime="Wed, 19 Feb 2020 01:06:30 GMT",
<http://web.archive.org/web/20200304170408/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Wed, 04 Mar 2020 17:04:08 GMT",
<http://web.archive.org/web/20200514015308/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Thu, 14 May 2020 01:53:08 GMT",
<http://web.archive.org/web/20200616073723/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Tue, 16 Jun 2020 07:37:23 GMT",
<http://web.archive.org/web/20200711041648/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 04:16:48 GMT",
<http://web.archive.org/web/20200807095741/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 09:57:41 GMT",
<http://web.archive.org/web/20200816205112/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 20:51:12 GMT",
<http://web.archive.org/web/20201005025025/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 02:50:25 GMT",
<http://web.archive.org/web/20201029174330/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 17:43:30 GMT",
<http://web.archive.org/web/20201106073741/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:37:41 GMT",
<http://web.archive.org/web/20201106193745/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 19:37:45 GMT",
<http://web.archive.org/web/20201126020251/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 02:02:51 GMT",
<http://web.archive.org/web/20201212202146/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 20:21:46 GMT",
<http://web.archive.org/web/20210125014655/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 01:46:55 GMT",
<http://web.archive.org/web/20210417090629/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 09:06:29 GMT",
<http://web.archive.org/web/20210509030448/https://secure.winred.com/JayObernolte/donate/>; rel="memento"; datetime="Sun, 09 May 2021 03:04:48 GMT",
<http://web.archive.org/web/20211019200502/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 20:05:02 GMT",
<http://web.archive.org/web/20220111000434/https://secure.winred.com/JayObernolte/donate>; rel="memento"; datetime="Tue, 11 Jan 2022 00:04:34 GMT",
