<https://secure.anedot.com/howzeforcongress/website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/howzeforcongress/website>; rel="self"; type="application/link-format"; from="Fri, 24 Apr 2020 07:36:30 GMT",
<http://web.archive.org/web/https://secure.anedot.com/howzeforcongress/website>; rel="timegate",
<http://web.archive.org/web/20200424073630/https://secure.anedot.com/howzeforcongress/website>; rel="first memento"; datetime="Fri, 24 Apr 2020 07:36:30 GMT",
<http://web.archive.org/web/20200427145503/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Mon, 27 Apr 2020 14:55:03 GMT",
<http://web.archive.org/web/20200529214341/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Fri, 29 May 2020 21:43:41 GMT",
<http://web.archive.org/web/20200711041638/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sat, 11 Jul 2020 04:16:38 GMT",
<http://web.archive.org/web/20200816205119/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sun, 16 Aug 2020 20:51:19 GMT",
<http://web.archive.org/web/20200926023904/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sat, 26 Sep 2020 02:39:04 GMT",
<http://web.archive.org/web/20201004212205/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sun, 04 Oct 2020 21:22:05 GMT",
<http://web.archive.org/web/20201020202948/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Tue, 20 Oct 2020 20:29:48 GMT",
<http://web.archive.org/web/20201024233414/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sat, 24 Oct 2020 23:34:14 GMT",
<http://web.archive.org/web/20201101082005/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sun, 01 Nov 2020 08:20:05 GMT",
<http://web.archive.org/web/20201113163529/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Fri, 13 Nov 2020 16:35:29 GMT",
<http://web.archive.org/web/20201121231800/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sat, 21 Nov 2020 23:18:00 GMT",
<http://web.archive.org/web/20201127003042/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Fri, 27 Nov 2020 00:30:42 GMT",
<http://web.archive.org/web/20201212145410/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Sat, 12 Dec 2020 14:54:10 GMT",
<http://web.archive.org/web/20210127170734/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Wed, 27 Jan 2021 17:07:34 GMT",
<http://web.archive.org/web/20210226132126/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Fri, 26 Feb 2021 13:21:26 GMT",
<http://web.archive.org/web/20210414104308/https://secure.anedot.com/howzeforcongress/website>; rel="memento"; datetime="Wed, 14 Apr 2021 10:43:08 GMT",
