<https://secure.actblue.com/donate/shahidforchange/>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/shahidforchange>; rel="self"; type="application/link-format"; from="Wed, 22 May 2019 04:41:10 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/shahidforchange>; rel="timegate",
<http://web.archive.org/web/20190522044110/https://secure.actblue.com/donate/shahidforchange/>; rel="first memento"; datetime="Wed, 22 May 2019 04:41:10 GMT",
<http://web.archive.org/web/20190529233111/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Wed, 29 May 2019 23:31:11 GMT",
<http://web.archive.org/web/20190802165707/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Fri, 02 Aug 2019 16:57:07 GMT",
<http://web.archive.org/web/20190802231008/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Fri, 02 Aug 2019 23:10:08 GMT",
<http://web.archive.org/web/20190921113717/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 21 Sep 2019 11:37:17 GMT",
<http://web.archive.org/web/20190921171106/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 21 Sep 2019 17:11:06 GMT",
<http://web.archive.org/web/20190923230757/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 23 Sep 2019 23:07:57 GMT",
<http://web.archive.org/web/20190923230807/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Mon, 23 Sep 2019 23:08:07 GMT",
<http://web.archive.org/web/20191005204437/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sat, 05 Oct 2019 20:44:37 GMT",
<http://web.archive.org/web/20191005214027/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sat, 05 Oct 2019 21:40:27 GMT",
<http://web.archive.org/web/20191126204449/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 26 Nov 2019 20:44:49 GMT",
<http://web.archive.org/web/20191201150953/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 01 Dec 2019 15:09:53 GMT",
<http://web.archive.org/web/20191205012102/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Thu, 05 Dec 2019 01:21:02 GMT",
<http://web.archive.org/web/20191205012146/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Thu, 05 Dec 2019 01:21:46 GMT",
<http://web.archive.org/web/20200308214324/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Sun, 08 Mar 2020 21:43:24 GMT",
<http://web.archive.org/web/20200308214344/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Sun, 08 Mar 2020 21:43:44 GMT",
<http://web.archive.org/web/20200331234914/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 31 Mar 2020 23:49:14 GMT",
<http://web.archive.org/web/20200331235031/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Tue, 31 Mar 2020 23:50:31 GMT",
<http://web.archive.org/web/20200406135747/https://secure.actblue.com/donate/shahidforchange>; rel="memento"; datetime="Mon, 06 Apr 2020 13:57:47 GMT",
<http://web.archive.org/web/20200406135752/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Mon, 06 Apr 2020 13:57:52 GMT",
<http://web.archive.org/web/20200407161400/https://secure.actblue.com/donate/shahidforchange/>; rel="memento"; datetime="Tue, 07 Apr 2020 16:14:00 GMT",
