<https://secure.actblue.com/donate/npdefault>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/npdefault>; rel="self"; type="application/link-format"; from="Fri, 05 Oct 2018 20:13:38 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/npdefault>; rel="timegate",
<http://web.archive.org/web/20181005201338/https://secure.actblue.com/donate/npdefault>; rel="first memento"; datetime="Fri, 05 Oct 2018 20:13:38 GMT",
<http://web.archive.org/web/20181017163103/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Wed, 17 Oct 2018 16:31:03 GMT",
<http://web.archive.org/web/20181023205151/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Tue, 23 Oct 2018 20:51:51 GMT",
<http://web.archive.org/web/20190304172049/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Mon, 04 Mar 2019 17:20:49 GMT",
<http://web.archive.org/web/20190403012810/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Wed, 03 Apr 2019 01:28:10 GMT",
<http://web.archive.org/web/20190508171602/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Wed, 08 May 2019 17:16:02 GMT",
<http://web.archive.org/web/20190925082641/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Wed, 25 Sep 2019 08:26:41 GMT",
<http://web.archive.org/web/20201003212329/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sat, 03 Oct 2020 21:23:29 GMT",
<http://web.archive.org/web/20201015081016/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Thu, 15 Oct 2020 08:10:16 GMT",
<http://web.archive.org/web/20201023103315/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Fri, 23 Oct 2020 10:33:15 GMT",
<http://web.archive.org/web/20201101124850/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sun, 01 Nov 2020 12:48:50 GMT",
<http://web.archive.org/web/20201106010657/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Fri, 06 Nov 2020 01:06:57 GMT",
<http://web.archive.org/web/20201106025906/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Fri, 06 Nov 2020 02:59:06 GMT",
<http://web.archive.org/web/20201205105824/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sat, 05 Dec 2020 10:58:24 GMT",
<http://web.archive.org/web/20201212052242/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sat, 12 Dec 2020 05:22:42 GMT",
<http://web.archive.org/web/20210221043542/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sun, 21 Feb 2021 04:35:42 GMT",
<http://web.archive.org/web/20210509114021/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sun, 09 May 2021 11:40:21 GMT",
<http://web.archive.org/web/20220130080414/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sun, 30 Jan 2022 08:04:14 GMT",
<http://web.archive.org/web/20220130080834/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sun, 30 Jan 2022 08:08:34 GMT",
<http://web.archive.org/web/20220130081303/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Sun, 30 Jan 2022 08:13:03 GMT",
<http://web.archive.org/web/20220214123604/https://secure.actblue.com/donate/npdefault>; rel="memento"; datetime="Mon, 14 Feb 2022 12:36:04 GMT",
