<https://www.efundraisingconnections.com/c/Cookingham/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.efundraisingconnections.com/c/Cookingham/>; rel="self"; type="application/link-format"; from="Sat, 17 Aug 2019 12:59:35 GMT",
<http://web.archive.org/web/https://www.efundraisingconnections.com/c/Cookingham/>; rel="timegate",
<http://web.archive.org/web/20190817125935/https://www.efundraisingconnections.com/c/Cookingham/>; rel="first memento"; datetime="Sat, 17 Aug 2019 12:59:35 GMT",
<http://web.archive.org/web/20200312181429/https://www.efundraisingconnections.com/c/Cookingham>; rel="memento"; datetime="Thu, 12 Mar 2020 18:14:29 GMT",
<http://web.archive.org/web/20200408031440/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Wed, 08 Apr 2020 03:14:40 GMT",
<http://web.archive.org/web/20200711041855/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:18:55 GMT",
<http://web.archive.org/web/20200711041858/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:18:58 GMT",
<http://web.archive.org/web/20200815011113/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sat, 15 Aug 2020 01:11:13 GMT",
<http://web.archive.org/web/20200816205310/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:53:10 GMT",
<http://web.archive.org/web/20200816205311/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:53:11 GMT",
<http://web.archive.org/web/20200921175900/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Mon, 21 Sep 2020 17:59:00 GMT",
<http://web.archive.org/web/20201005030436/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Mon, 05 Oct 2020 03:04:36 GMT",
<http://web.archive.org/web/20201005030521/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Mon, 05 Oct 2020 03:05:21 GMT",
<http://web.archive.org/web/20201101064129/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sun, 01 Nov 2020 06:41:29 GMT",
<http://web.archive.org/web/20201104233546/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Wed, 04 Nov 2020 23:35:46 GMT",
<http://web.archive.org/web/20201117023842/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Tue, 17 Nov 2020 02:38:42 GMT",
<http://web.archive.org/web/20201117023843/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Tue, 17 Nov 2020 02:38:43 GMT",
<http://web.archive.org/web/20201117025820/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Tue, 17 Nov 2020 02:58:20 GMT",
<http://web.archive.org/web/20201121065324/http://www.efundraisingconnections.com/c/cookingham/>; rel="memento"; datetime="Sat, 21 Nov 2020 06:53:24 GMT",
<http://web.archive.org/web/20201121065326/https://www.efundraisingconnections.com/c/cookingham/>; rel="memento"; datetime="Sat, 21 Nov 2020 06:53:26 GMT",
<http://web.archive.org/web/20201129065640/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sun, 29 Nov 2020 06:56:40 GMT",
<http://web.archive.org/web/20201212203234/https://www.efundraisingconnections.com/c/Cookingham/>; rel="memento"; datetime="Sat, 12 Dec 2020 20:32:34 GMT",
