<https://act.myngp.com/Forms/-566609128118550528>; rel="original",
<http://web.archive.org/web/timemap/link/https://act.myngp.com/Forms/-566609128118550528>; rel="self"; type="application/link-format"; from="Fri, 08 Aug 2014 22:42:45 GMT",
<http://web.archive.org/web/https://act.myngp.com/Forms/-566609128118550528>; rel="timegate",
<http://web.archive.org/web/20140808224245/https://act.myngp.com/Forms/-566609128118550528>; rel="first memento"; datetime="Fri, 08 Aug 2014 22:42:45 GMT",
<http://web.archive.org/web/20140815224244/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 15 Aug 2014 22:42:44 GMT",
<http://web.archive.org/web/20140822224851/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 22 Aug 2014 22:48:51 GMT",
<http://web.archive.org/web/20140829225658/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 29 Aug 2014 22:56:58 GMT",
<http://web.archive.org/web/20140905224403/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 05 Sep 2014 22:44:03 GMT",
<http://web.archive.org/web/20140920035159/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sat, 20 Sep 2014 03:51:59 GMT",
<http://web.archive.org/web/20140926225231/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 26 Sep 2014 22:52:31 GMT",
<http://web.archive.org/web/20141003232556/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 03 Oct 2014 23:25:56 GMT",
<http://web.archive.org/web/20141010231408/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 10 Oct 2014 23:14:08 GMT",
<http://web.archive.org/web/20141017231151/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 17 Oct 2014 23:11:51 GMT",
<http://web.archive.org/web/20141024233446/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 24 Oct 2014 23:34:46 GMT",
<http://web.archive.org/web/20141026185347/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sun, 26 Oct 2014 18:53:47 GMT",
<http://web.archive.org/web/20141027230946/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Mon, 27 Oct 2014 23:09:46 GMT",
<http://web.archive.org/web/20141028193940/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Tue, 28 Oct 2014 19:39:40 GMT",
<http://web.archive.org/web/20141029193340/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Wed, 29 Oct 2014 19:33:40 GMT",
<http://web.archive.org/web/20141030185113/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Thu, 30 Oct 2014 18:51:13 GMT",
<http://web.archive.org/web/20141031192832/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 31 Oct 2014 19:28:32 GMT",
<http://web.archive.org/web/20141101185926/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sat, 01 Nov 2014 18:59:26 GMT",
<http://web.archive.org/web/20141102190327/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sun, 02 Nov 2014 19:03:27 GMT",
<http://web.archive.org/web/20141103201330/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Mon, 03 Nov 2014 20:13:30 GMT",
<http://web.archive.org/web/20141104185819/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Tue, 04 Nov 2014 18:58:19 GMT",
<http://web.archive.org/web/20141105185743/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Wed, 05 Nov 2014 18:57:43 GMT",
<http://web.archive.org/web/20141106185042/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Thu, 06 Nov 2014 18:50:42 GMT",
<http://web.archive.org/web/20141107202447/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 07 Nov 2014 20:24:47 GMT",
<http://web.archive.org/web/20141108185334/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sat, 08 Nov 2014 18:53:34 GMT",
<http://web.archive.org/web/20141109190416/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sun, 09 Nov 2014 19:04:16 GMT",
<http://web.archive.org/web/20141110185126/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Mon, 10 Nov 2014 18:51:26 GMT",
<http://web.archive.org/web/20141111213643/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Tue, 11 Nov 2014 21:36:43 GMT",
<http://web.archive.org/web/20141112195120/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Wed, 12 Nov 2014 19:51:20 GMT",
<http://web.archive.org/web/20141113185910/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Thu, 13 Nov 2014 18:59:10 GMT",
<http://web.archive.org/web/20141114184914/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Fri, 14 Nov 2014 18:49:14 GMT",
<http://web.archive.org/web/20141115202623/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Sat, 15 Nov 2014 20:26:23 GMT",
<http://web.archive.org/web/20141117034341/https://act.myngp.com/Forms/-566609128118550528>; rel="memento"; datetime="Mon, 17 Nov 2014 03:43:41 GMT",
