<https://secure.actblue.com/donate/cox_web_2018>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/cox_web_2018>; rel="self"; type="application/link-format"; from="Thu, 02 Aug 2018 04:38:15 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/cox_web_2018>; rel="timegate",
<http://web.archive.org/web/20180802043815/https://secure.actblue.com/donate/cox_web_2018>; rel="first memento"; datetime="Thu, 02 Aug 2018 04:38:15 GMT",
<http://web.archive.org/web/20190304175820/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Mon, 04 Mar 2019 17:58:20 GMT",
<http://web.archive.org/web/20191212015621/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Thu, 12 Dec 2019 01:56:21 GMT",
<http://web.archive.org/web/20201003213054/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Sat, 03 Oct 2020 21:30:54 GMT",
<http://web.archive.org/web/20201023104640/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Fri, 23 Oct 2020 10:46:40 GMT",
<http://web.archive.org/web/20201122032849/http://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Sun, 22 Nov 2020 03:28:49 GMT",
<http://web.archive.org/web/20201122032850/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Sun, 22 Nov 2020 03:28:50 GMT",
<http://web.archive.org/web/20201122033440/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Sun, 22 Nov 2020 03:34:40 GMT",
<http://web.archive.org/web/20201125025506/http://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Wed, 25 Nov 2020 02:55:06 GMT",
<http://web.archive.org/web/20201125030432/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Wed, 25 Nov 2020 03:04:32 GMT",
<http://web.archive.org/web/20201205111321/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Sat, 05 Dec 2020 11:13:21 GMT",
<http://web.archive.org/web/20201212053248/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Sat, 12 Dec 2020 05:32:48 GMT",
<http://web.archive.org/web/20210506130619/https://secure.actblue.com/donate/cox_web_2018>; rel="memento"; datetime="Thu, 06 May 2021 13:06:19 GMT",
