<https://secure.actblue.com/donate/mangoneforcongress.com>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="self"; type="application/link-format"; from="Tue, 17 Dec 2019 00:02:05 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="timegate",
<http://web.archive.org/web/20191217000205/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="first memento"; datetime="Tue, 17 Dec 2019 00:02:05 GMT",
<http://web.archive.org/web/20200318063743/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Wed, 18 Mar 2020 06:37:43 GMT",
<http://web.archive.org/web/20200403150726/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Fri, 03 Apr 2020 15:07:26 GMT",
<http://web.archive.org/web/20200408110000/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Wed, 08 Apr 2020 11:00:00 GMT",
<http://web.archive.org/web/20200419145458/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 19 Apr 2020 14:54:58 GMT",
<http://web.archive.org/web/20200422034002/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Wed, 22 Apr 2020 03:40:02 GMT",
<http://web.archive.org/web/20200612203619/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Fri, 12 Jun 2020 20:36:19 GMT",
<http://web.archive.org/web/20200711042055/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 11 Jul 2020 04:20:55 GMT",
<http://web.archive.org/web/20200711042056/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 11 Jul 2020 04:20:56 GMT",
<http://web.archive.org/web/20200711042057/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 11 Jul 2020 04:20:57 GMT",
<http://web.archive.org/web/20200816205430/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 16 Aug 2020 20:54:30 GMT",
<http://web.archive.org/web/20200816205431/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 16 Aug 2020 20:54:31 GMT",
<http://web.archive.org/web/20200821220050/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Fri, 21 Aug 2020 22:00:50 GMT",
<http://web.archive.org/web/20200830152022/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 30 Aug 2020 15:20:22 GMT",
<http://web.archive.org/web/20200928063032/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Mon, 28 Sep 2020 06:30:32 GMT",
<http://web.archive.org/web/20201003213629/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 03 Oct 2020 21:36:29 GMT",
<http://web.archive.org/web/20201003213640/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 03 Oct 2020 21:36:40 GMT",
<http://web.archive.org/web/20201003213641/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 03 Oct 2020 21:36:41 GMT",
<http://web.archive.org/web/20201004045746/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 04 Oct 2020 04:57:46 GMT",
<http://web.archive.org/web/20201023105535/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Fri, 23 Oct 2020 10:55:35 GMT",
<http://web.archive.org/web/20201101095730/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 01 Nov 2020 09:57:30 GMT",
<http://web.archive.org/web/20201106005206/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Fri, 06 Nov 2020 00:52:06 GMT",
<http://web.archive.org/web/20201115005511/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sun, 15 Nov 2020 00:55:11 GMT",
<http://web.archive.org/web/20201117025742/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Tue, 17 Nov 2020 02:57:42 GMT",
<http://web.archive.org/web/20201118114246/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Wed, 18 Nov 2020 11:42:46 GMT",
<http://web.archive.org/web/20201205112057/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 05 Dec 2020 11:20:57 GMT",
<http://web.archive.org/web/20201212053800/https://secure.actblue.com/donate/mangoneforcongress.com>; rel="memento"; datetime="Sat, 12 Dec 2020 05:38:00 GMT",
