<https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="self"; type="application/link-format"; from="Wed, 10 Apr 2019 16:09:01 GMT",
<http://web.archive.org/web/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="timegate",
<http://web.archive.org/web/20190410160901/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="first memento"; datetime="Wed, 10 Apr 2019 16:09:01 GMT",
<http://web.archive.org/web/20191217125752/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 17 Dec 2019 12:57:52 GMT",
<http://web.archive.org/web/20200417013607/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Fri, 17 Apr 2020 01:36:07 GMT",
<http://web.archive.org/web/20200421143741/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 21 Apr 2020 14:37:41 GMT",
<http://web.archive.org/web/20200512005118/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 12 May 2020 00:51:18 GMT",
<http://web.archive.org/web/20200603022254/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 03 Jun 2020 02:22:54 GMT",
<http://web.archive.org/web/20200620164524/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 20 Jun 2020 16:45:24 GMT",
<http://web.archive.org/web/20200711042117/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:21:17 GMT",
<http://web.archive.org/web/20200711042118/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:21:18 GMT",
<http://web.archive.org/web/20200812204744/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 12 Aug 2020 20:47:44 GMT",
<http://web.archive.org/web/20200816205507/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:55:07 GMT",
<http://web.archive.org/web/20200816205508/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:55:08 GMT",
<http://web.archive.org/web/20200923123254/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 23 Sep 2020 12:32:54 GMT",
<http://web.archive.org/web/20201005032214/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Mon, 05 Oct 2020 03:22:14 GMT",
<http://web.archive.org/web/20201020083844/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 20 Oct 2020 08:38:44 GMT",
<http://web.archive.org/web/20201109060307/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Mon, 09 Nov 2020 06:03:07 GMT",
<http://web.archive.org/web/20201113162434/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Fri, 13 Nov 2020 16:24:34 GMT",
<http://web.archive.org/web/20201113162451/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Fri, 13 Nov 2020 16:24:51 GMT",
<http://web.archive.org/web/20201117232331/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 17 Nov 2020 23:23:31 GMT",
<http://web.archive.org/web/20201118005711/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 18 Nov 2020 00:57:11 GMT",
<http://web.archive.org/web/20201124232519/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 24 Nov 2020 23:25:19 GMT",
<http://web.archive.org/web/20201212204519/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 12 Dec 2020 20:45:19 GMT",
<http://web.archive.org/web/20210117153743/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 17 Jan 2021 15:37:43 GMT",
<http://web.archive.org/web/20210225062656/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 25 Feb 2021 06:26:56 GMT",
<http://web.archive.org/web/20210225064119/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 25 Feb 2021 06:41:19 GMT",
<http://web.archive.org/web/20210225215554/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 25 Feb 2021 21:55:54 GMT",
<http://web.archive.org/web/20210308142522/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Mon, 08 Mar 2021 14:25:22 GMT",
<http://web.archive.org/web/20210416204309/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Fri, 16 Apr 2021 20:43:09 GMT",
<http://web.archive.org/web/20210417081909/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 17 Apr 2021 08:19:09 GMT",
<http://web.archive.org/web/20210509024605/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 09 May 2021 02:46:05 GMT",
<http://web.archive.org/web/20210912193140/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 12 Sep 2021 19:31:40 GMT",
<http://web.archive.org/web/20210913002937/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Mon, 13 Sep 2021 00:29:37 GMT",
<http://web.archive.org/web/20210914030938/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 14 Sep 2021 03:09:38 GMT",
<http://web.archive.org/web/20210915112628/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 15 Sep 2021 11:26:28 GMT",
<http://web.archive.org/web/20210915124444/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 15 Sep 2021 12:44:44 GMT",
<http://web.archive.org/web/20210915124453/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 15 Sep 2021 12:44:53 GMT",
<http://web.archive.org/web/20210916071137/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 16 Sep 2021 07:11:37 GMT",
<http://web.archive.org/web/20210916071159/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 16 Sep 2021 07:11:59 GMT",
<http://web.archive.org/web/20210916144705/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 16 Sep 2021 14:47:05 GMT",
<http://web.archive.org/web/20210916144711/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Thu, 16 Sep 2021 14:47:11 GMT",
<http://web.archive.org/web/20210917032606/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Fri, 17 Sep 2021 03:26:06 GMT",
<http://web.archive.org/web/20210918071319/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 07:13:19 GMT",
<http://web.archive.org/web/20210918071321/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 07:13:21 GMT",
<http://web.archive.org/web/20210918071329/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 07:13:29 GMT",
<http://web.archive.org/web/20210918071411/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 07:14:11 GMT",
<http://web.archive.org/web/20210918071500/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 07:15:00 GMT",
<http://web.archive.org/web/20210918093757/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 09:37:57 GMT",
<http://web.archive.org/web/20210918093811/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sat, 18 Sep 2021 09:38:11 GMT",
<http://web.archive.org/web/20210919142418/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 19 Sep 2021 14:24:18 GMT",
<http://web.archive.org/web/20210919142420/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 19 Sep 2021 14:24:20 GMT",
<http://web.archive.org/web/20210919142422/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Sun, 19 Sep 2021 14:24:22 GMT",
<http://web.archive.org/web/20210920140220/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Mon, 20 Sep 2021 14:02:20 GMT",
<http://web.archive.org/web/20210921041650/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Tue, 21 Sep 2021 04:16:50 GMT",
<http://web.archive.org/web/20210922111144/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 22 Sep 2021 11:11:44 GMT",
<http://web.archive.org/web/20211229005353/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Wed, 29 Dec 2021 00:53:53 GMT",
<http://web.archive.org/web/20220214123604/https://www.efundraisingconnections.com/c/MikeGarcia/>; rel="memento"; datetime="Mon, 14 Feb 2022 12:36:04 GMT",
