<https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="self"; type="application/link-format"; from="Fri, 19 Jul 2019 03:44:07 GMT",
<http://web.archive.org/web/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="timegate",
<http://web.archive.org/web/20190719034407/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="first memento"; datetime="Fri, 19 Jul 2019 03:44:07 GMT",
<http://web.archive.org/web/20190928154615/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 28 Sep 2019 15:46:15 GMT",
<http://web.archive.org/web/20191225021807/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Wed, 25 Dec 2019 02:18:07 GMT",
<http://web.archive.org/web/20200418073339/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 18 Apr 2020 07:33:39 GMT",
<http://web.archive.org/web/20200512032226/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Tue, 12 May 2020 03:22:26 GMT",
<http://web.archive.org/web/20200519135435/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Tue, 19 May 2020 13:54:35 GMT",
<http://web.archive.org/web/20200713173548/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Mon, 13 Jul 2020 17:35:48 GMT",
<http://web.archive.org/web/20200804001606/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Tue, 04 Aug 2020 00:16:06 GMT",
<http://web.archive.org/web/20200927080241/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 08:02:41 GMT",
<http://web.archive.org/web/20201004212720/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 21:27:20 GMT",
<http://web.archive.org/web/20201020203932/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Tue, 20 Oct 2020 20:39:32 GMT",
<http://web.archive.org/web/20201024233949/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 24 Oct 2020 23:39:49 GMT",
<http://web.archive.org/web/20201031111901/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 11:19:01 GMT",
<http://web.archive.org/web/20201106173608/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 17:36:08 GMT",
<http://web.archive.org/web/20201106173704/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 17:37:04 GMT",
<http://web.archive.org/web/20201114230921/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 23:09:21 GMT",
<http://web.archive.org/web/20201114234825/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 23:48:25 GMT",
<http://web.archive.org/web/20201117000846/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 00:08:46 GMT",
<http://web.archive.org/web/20201127004420/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Fri, 27 Nov 2020 00:44:20 GMT",
<http://web.archive.org/web/20201212150021/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 15:00:21 GMT",
<http://web.archive.org/web/20210109114810/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 09 Jan 2021 11:48:10 GMT",
<http://web.archive.org/web/20210109114818/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Sat, 09 Jan 2021 11:48:18 GMT",
<http://web.archive.org/web/20210125235053/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 23:50:53 GMT",
<http://web.archive.org/web/20210225024824/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 02:48:24 GMT",
<http://web.archive.org/web/20210506125715/https://secure.anedot.com/eric-early-for-congress-2020/donate>; rel="memento"; datetime="Thu, 06 May 2021 12:57:15 GMT",
