<https://secure.actblue.com/donate/angelica>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/angelica>; rel="self"; type="application/link-format"; from="Sun, 06 Oct 2019 03:07:54 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/angelica>; rel="timegate",
<http://web.archive.org/web/20191006030754/https://secure.actblue.com/donate/angelica>; rel="first memento"; datetime="Sun, 06 Oct 2019 03:07:54 GMT",
<http://web.archive.org/web/20200401202337/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Wed, 01 Apr 2020 20:23:37 GMT",
<http://web.archive.org/web/20200410151304/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Fri, 10 Apr 2020 15:13:04 GMT",
<http://web.archive.org/web/20200505223020/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Tue, 05 May 2020 22:30:20 GMT",
<http://web.archive.org/web/20200612052008/http://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Fri, 12 Jun 2020 05:20:08 GMT",
<http://web.archive.org/web/20200612052011/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Fri, 12 Jun 2020 05:20:11 GMT",
<http://web.archive.org/web/20200612052027/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Fri, 12 Jun 2020 05:20:27 GMT",
<http://web.archive.org/web/20201003220322/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Sat, 03 Oct 2020 22:03:22 GMT",
<http://web.archive.org/web/20201003220323/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Sat, 03 Oct 2020 22:03:23 GMT",
<http://web.archive.org/web/20201003220324/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Sat, 03 Oct 2020 22:03:24 GMT",
<http://web.archive.org/web/20201023113211/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Fri, 23 Oct 2020 11:32:11 GMT",
<http://web.archive.org/web/20201105220550/http://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Thu, 05 Nov 2020 22:05:50 GMT",
<http://web.archive.org/web/20201105220550/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Thu, 05 Nov 2020 22:05:50 GMT",
<http://web.archive.org/web/20201105220637/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Thu, 05 Nov 2020 22:06:37 GMT",
<http://web.archive.org/web/20201125023013/http://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Wed, 25 Nov 2020 02:30:13 GMT",
<http://web.archive.org/web/20201125023013/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Wed, 25 Nov 2020 02:30:13 GMT",
<http://web.archive.org/web/20201125023449/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Wed, 25 Nov 2020 02:34:49 GMT",
<http://web.archive.org/web/20201205115930/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Sat, 05 Dec 2020 11:59:30 GMT",
<http://web.archive.org/web/20201212060613/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Sat, 12 Dec 2020 06:06:13 GMT",
<http://web.archive.org/web/20210215175251/https://secure.actblue.com/donate/angelica>; rel="memento"; datetime="Mon, 15 Feb 2021 17:52:51 GMT",
