<https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="self"; type="application/link-format"; from="Sat, 25 Jan 2020 04:43:22 GMT",
<http://web.archive.org/web/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200125044322/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="first memento"; datetime="Sat, 25 Jan 2020 04:43:22 GMT",
<http://web.archive.org/web/20200205214113/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Wed, 05 Feb 2020 21:41:13 GMT",
<http://web.archive.org/web/20200517163732/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sun, 17 May 2020 16:37:32 GMT",
<http://web.archive.org/web/20200815000010/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sat, 15 Aug 2020 00:00:10 GMT",
<http://web.archive.org/web/20201004212838/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 21:28:38 GMT",
<http://web.archive.org/web/20201011213142/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sun, 11 Oct 2020 21:31:42 GMT",
<http://web.archive.org/web/20201023092912/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Fri, 23 Oct 2020 09:29:12 GMT",
<http://web.archive.org/web/20201024234135/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sat, 24 Oct 2020 23:41:35 GMT",
<http://web.archive.org/web/20201105100251/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 10:02:51 GMT",
<http://web.archive.org/web/20201105111718/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 11:17:18 GMT",
<http://web.archive.org/web/20201106040544/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 04:05:44 GMT",
<http://web.archive.org/web/20201106040617/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 04:06:17 GMT",
<http://web.archive.org/web/20201212150235/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 15:02:35 GMT",
<http://web.archive.org/web/20211017081502/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 08:15:02 GMT",
<http://web.archive.org/web/20211017221023/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 22:10:23 GMT",
<http://web.archive.org/web/20211019220608/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 22:06:08 GMT",
<http://web.archive.org/web/20211020104558/https://secure.anedot.com/agnes-gibboney-for-congress/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 10:45:58 GMT",
