<http://donorbox.org/james-p-bradley-for-us-congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://donorbox.org/james-p-bradley-for-us-congress>; rel="self"; type="application/link-format"; from="Sun, 28 Jun 2020 22:27:08 GMT",
<http://web.archive.org/web/https://donorbox.org/james-p-bradley-for-us-congress>; rel="timegate",
<http://web.archive.org/web/20200628222708/http://donorbox.org/james-p-bradley-for-us-congress>; rel="first memento"; datetime="Sun, 28 Jun 2020 22:27:08 GMT",
<http://web.archive.org/web/20200706152406/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Mon, 06 Jul 2020 15:24:06 GMT",
<http://web.archive.org/web/20200803180554/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Mon, 03 Aug 2020 18:05:54 GMT",
<http://web.archive.org/web/20200804235722/http://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Tue, 04 Aug 2020 23:57:22 GMT",
<http://web.archive.org/web/20200809100814/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sun, 09 Aug 2020 10:08:14 GMT",
<http://web.archive.org/web/20200814061117/http://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Fri, 14 Aug 2020 06:11:17 GMT",
<http://web.archive.org/web/20200815050132/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sat, 15 Aug 2020 05:01:32 GMT",
<http://web.archive.org/web/20200816204827/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sun, 16 Aug 2020 20:48:27 GMT",
<http://web.archive.org/web/20200924052250/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Thu, 24 Sep 2020 05:22:50 GMT",
<http://web.archive.org/web/20201003220813/http://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sat, 03 Oct 2020 22:08:13 GMT",
<http://web.archive.org/web/20201005033813/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Mon, 05 Oct 2020 03:38:13 GMT",
<http://web.archive.org/web/20201027184243/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Tue, 27 Oct 2020 18:42:43 GMT",
<http://web.archive.org/web/20201101005846/http://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sun, 01 Nov 2020 00:58:46 GMT",
<http://web.archive.org/web/20201101005846/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sun, 01 Nov 2020 00:58:46 GMT",
<http://web.archive.org/web/20201101022154/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sun, 01 Nov 2020 02:21:54 GMT",
<http://web.archive.org/web/20201106193613/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Fri, 06 Nov 2020 19:36:13 GMT",
<http://web.archive.org/web/20201107015647/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sat, 07 Nov 2020 01:56:47 GMT",
<http://web.archive.org/web/20201107015734/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sat, 07 Nov 2020 01:57:34 GMT",
<http://web.archive.org/web/20201206022103/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sun, 06 Dec 2020 02:21:03 GMT",
<http://web.archive.org/web/20201212205438/https://donorbox.org/james-p-bradley-for-us-congress>; rel="memento"; datetime="Sat, 12 Dec 2020 20:54:38 GMT",
