<https://secure.actblue.com/donate/ted-lieu-5>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ted-lieu-5>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 07:31:55 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ted-lieu-5>; rel="timegate",
<http://web.archive.org/web/20190508073155/https://secure.actblue.com/donate/ted-lieu-5>; rel="first memento"; datetime="Wed, 08 May 2019 07:31:55 GMT",
<http://web.archive.org/web/20190508172750/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Wed, 08 May 2019 17:27:50 GMT",
<http://web.archive.org/web/20191227041112/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Fri, 27 Dec 2019 04:11:12 GMT",
<http://web.archive.org/web/20200510155016/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sun, 10 May 2020 15:50:16 GMT",
<http://web.archive.org/web/20200711042340/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sat, 11 Jul 2020 04:23:40 GMT",
<http://web.archive.org/web/20200816205603/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sun, 16 Aug 2020 20:56:03 GMT",
<http://web.archive.org/web/20200928063250/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Mon, 28 Sep 2020 06:32:50 GMT",
<http://web.archive.org/web/20201003191859/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sat, 03 Oct 2020 19:18:59 GMT",
<http://web.archive.org/web/20201003220700/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sat, 03 Oct 2020 22:07:00 GMT",
<http://web.archive.org/web/20201023113711/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Fri, 23 Oct 2020 11:37:11 GMT",
<http://web.archive.org/web/20201101042839/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sun, 01 Nov 2020 04:28:39 GMT",
<http://web.archive.org/web/20201106035041/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Fri, 06 Nov 2020 03:50:41 GMT",
<http://web.archive.org/web/20201106035228/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Fri, 06 Nov 2020 03:52:28 GMT",
<http://web.archive.org/web/20201205120447/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sat, 05 Dec 2020 12:04:47 GMT",
<http://web.archive.org/web/20201212061023/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sat, 12 Dec 2020 06:10:23 GMT",
<http://web.archive.org/web/20210111140257/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Mon, 11 Jan 2021 14:02:57 GMT",
<http://web.archive.org/web/20210506105532/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Thu, 06 May 2021 10:55:32 GMT",
<http://web.archive.org/web/20210509110608/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sun, 09 May 2021 11:06:08 GMT",
<http://web.archive.org/web/20211002101812/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Sat, 02 Oct 2021 10:18:12 GMT",
<http://web.archive.org/web/20211209052434/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Thu, 09 Dec 2021 05:24:34 GMT",
<http://web.archive.org/web/20220214122806/https://secure.actblue.com/donate/ted-lieu-5>; rel="memento"; datetime="Mon, 14 Feb 2022 12:28:06 GMT",
