<https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="self"; type="application/link-format"; from="Thu, 12 Dec 2019 01:55:57 GMT",
<http://web.archive.org/web/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="timegate",
<http://web.archive.org/web/20191212015557/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="first memento"; datetime="Thu, 12 Dec 2019 01:55:57 GMT",
<http://web.archive.org/web/20200122000210/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Wed, 22 Jan 2020 00:02:10 GMT",
<http://web.archive.org/web/20200304132102/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Wed, 04 Mar 2020 13:21:02 GMT",
<http://web.archive.org/web/20200610120851/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Wed, 10 Jun 2020 12:08:51 GMT",
<http://web.archive.org/web/20200610120857/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Wed, 10 Jun 2020 12:08:57 GMT",
<http://web.archive.org/web/20200711042600/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:26:00 GMT",
<http://web.archive.org/web/20200711042602/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:26:02 GMT",
<http://web.archive.org/web/20200812203045/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Wed, 12 Aug 2020 20:30:45 GMT",
<http://web.archive.org/web/20200816205730/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:57:30 GMT",
<http://web.archive.org/web/20200816205731/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:57:31 GMT",
<http://web.archive.org/web/20200926205426/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sat, 26 Sep 2020 20:54:26 GMT",
<http://web.archive.org/web/20201005034952/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Mon, 05 Oct 2020 03:49:52 GMT",
<http://web.archive.org/web/20201005035002/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Mon, 05 Oct 2020 03:50:02 GMT",
<http://web.archive.org/web/20201025220434/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 25 Oct 2020 22:04:34 GMT",
<http://web.archive.org/web/20201101135111/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 01 Nov 2020 13:51:11 GMT",
<http://web.archive.org/web/20201106165952/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Fri, 06 Nov 2020 16:59:52 GMT",
<http://web.archive.org/web/20201120004633/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Fri, 20 Nov 2020 00:46:33 GMT",
<http://web.archive.org/web/20201124114343/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Tue, 24 Nov 2020 11:43:43 GMT",
<http://web.archive.org/web/20201125023004/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Wed, 25 Nov 2020 02:30:04 GMT",
<http://web.archive.org/web/20201212210456/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sat, 12 Dec 2020 21:04:56 GMT",
<http://web.archive.org/web/20210121232246/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Thu, 21 Jan 2021 23:22:46 GMT",
<http://web.archive.org/web/20210228212841/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 28 Feb 2021 21:28:41 GMT",
<http://web.archive.org/web/20210422165429/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Thu, 22 Apr 2021 16:54:29 GMT",
<http://web.archive.org/web/20210509023947/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 09 May 2021 02:39:47 GMT",
<http://web.archive.org/web/20210509102252/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Sun, 09 May 2021 10:22:52 GMT",
<http://web.archive.org/web/20210615124301/https://www.efundraisingconnections.com/c/AjaSmithforCongress/>; rel="memento"; datetime="Tue, 15 Jun 2021 12:43:01 GMT",
