<https://secure.actblue.com/donate/mark-takano-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/mark-takano-1>; rel="self"; type="application/link-format"; from="Fri, 05 Oct 2018 20:12:47 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/mark-takano-1>; rel="timegate",
<http://web.archive.org/web/20181005201247/https://secure.actblue.com/donate/mark-takano-1>; rel="first memento"; datetime="Fri, 05 Oct 2018 20:12:47 GMT",
<http://web.archive.org/web/20181017162106/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Wed, 17 Oct 2018 16:21:06 GMT",
<http://web.archive.org/web/20181023205054/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Tue, 23 Oct 2018 20:50:54 GMT",
<http://web.archive.org/web/20190508073148/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Wed, 08 May 2019 07:31:48 GMT",
<http://web.archive.org/web/20190508172503/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Wed, 08 May 2019 17:25:03 GMT",
<http://web.archive.org/web/20190915061659/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sun, 15 Sep 2019 06:16:59 GMT",
<http://web.archive.org/web/20200607180927/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sun, 07 Jun 2020 18:09:27 GMT",
<http://web.archive.org/web/20200928064132/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:41:32 GMT",
<http://web.archive.org/web/20201003222340/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sat, 03 Oct 2020 22:23:40 GMT",
<http://web.archive.org/web/20201003222341/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sat, 03 Oct 2020 22:23:41 GMT",
<http://web.archive.org/web/20201003222342/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sat, 03 Oct 2020 22:23:42 GMT",
<http://web.archive.org/web/20201023115917/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Fri, 23 Oct 2020 11:59:17 GMT",
<http://web.archive.org/web/20201101084250/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sun, 01 Nov 2020 08:42:50 GMT",
<http://web.archive.org/web/20201106005728/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Fri, 06 Nov 2020 00:57:28 GMT",
<http://web.archive.org/web/20201205122923/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sat, 05 Dec 2020 12:29:23 GMT",
<http://web.archive.org/web/20201212062450/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sat, 12 Dec 2020 06:24:50 GMT",
<http://web.archive.org/web/20210509105758/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sun, 09 May 2021 10:57:58 GMT",
<http://web.archive.org/web/20210602140120/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Wed, 02 Jun 2021 14:01:20 GMT",
<http://web.archive.org/web/20210603171026/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Thu, 03 Jun 2021 17:10:26 GMT",
<http://web.archive.org/web/20211006210800/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Wed, 06 Oct 2021 21:08:00 GMT",
<http://web.archive.org/web/20211031155150/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Sun, 31 Oct 2021 15:51:50 GMT",
<http://web.archive.org/web/20211126082122/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Fri, 26 Nov 2021 08:21:22 GMT",
<http://web.archive.org/web/20220114050804/https://secure.actblue.com/donate/mark-takano-1>; rel="memento"; datetime="Fri, 14 Jan 2022 05:08:04 GMT",
