<https://secure.anedot.com/james-waters-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/james-waters-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 01 Nov 2019 18:14:18 GMT",
<http://web.archive.org/web/https://secure.anedot.com/james-waters-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20191101181418/https://secure.anedot.com/james-waters-for-congress/donate>; rel="first memento"; datetime="Fri, 01 Nov 2019 18:14:18 GMT",
<http://web.archive.org/web/20200711042657/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 04:26:57 GMT",
<http://web.archive.org/web/20200807124950/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 12:49:50 GMT",
<http://web.archive.org/web/20200816205801/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 20:58:01 GMT",
<http://web.archive.org/web/20200926020809/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 02:08:09 GMT",
<http://web.archive.org/web/20201004213435/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 21:34:35 GMT",
<http://web.archive.org/web/20201023083328/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Fri, 23 Oct 2020 08:33:28 GMT",
<http://web.archive.org/web/20201024234727/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sat, 24 Oct 2020 23:47:27 GMT",
<http://web.archive.org/web/20201106193542/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 19:35:42 GMT",
<http://web.archive.org/web/20201106193615/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 19:36:15 GMT",
<http://web.archive.org/web/20201122132850/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 13:28:50 GMT",
<http://web.archive.org/web/20201122143659/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 14:36:59 GMT",
<http://web.archive.org/web/20201212150923/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 15:09:23 GMT",
<http://web.archive.org/web/20210121111752/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Thu, 21 Jan 2021 11:17:52 GMT",
<http://web.archive.org/web/20210302202122/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 20:21:22 GMT",
<http://web.archive.org/web/20210509131239/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Sun, 09 May 2021 13:12:39 GMT",
<http://web.archive.org/web/20210615184739/https://secure.anedot.com/james-waters-for-congress/donate>; rel="memento"; datetime="Tue, 15 Jun 2021 18:47:39 GMT",
