<https://secure.actblue.com/donate/mikelevin>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/mikelevin>; rel="self"; type="application/link-format"; from="Wed, 02 Jan 2019 10:40:47 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/mikelevin>; rel="timegate",
<http://web.archive.org/web/20190102104047/https://secure.actblue.com/donate/mikelevin>; rel="first memento"; datetime="Wed, 02 Jan 2019 10:40:47 GMT",
<http://web.archive.org/web/20190118070246/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 18 Jan 2019 07:02:46 GMT",
<http://web.archive.org/web/20190227224355/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Wed, 27 Feb 2019 22:43:55 GMT",
<http://web.archive.org/web/20190508175520/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Wed, 08 May 2019 17:55:20 GMT",
<http://web.archive.org/web/20191004052921/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 04 Oct 2019 05:29:21 GMT",
<http://web.archive.org/web/20201003223625/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sat, 03 Oct 2020 22:36:25 GMT",
<http://web.archive.org/web/20201003223625/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sat, 03 Oct 2020 22:36:25 GMT",
<http://web.archive.org/web/20201003223626/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sat, 03 Oct 2020 22:36:26 GMT",
<http://web.archive.org/web/20201004171649/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sun, 04 Oct 2020 17:16:49 GMT",
<http://web.archive.org/web/20201023121803/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 23 Oct 2020 12:18:03 GMT",
<http://web.archive.org/web/20201106013140/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 06 Nov 2020 01:31:40 GMT",
<http://web.archive.org/web/20201106180425/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 06 Nov 2020 18:04:25 GMT",
<http://web.archive.org/web/20201117024839/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Tue, 17 Nov 2020 02:48:39 GMT",
<http://web.archive.org/web/20201205125303/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sat, 05 Dec 2020 12:53:03 GMT",
<http://web.archive.org/web/20201212064351/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sat, 12 Dec 2020 06:43:51 GMT",
<http://web.archive.org/web/20210326192328/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 26 Mar 2021 19:23:28 GMT",
<http://web.archive.org/web/20210509105102/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Sun, 09 May 2021 10:51:02 GMT",
<http://web.archive.org/web/20210514162257/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Fri, 14 May 2021 16:22:57 GMT",
<http://web.archive.org/web/20211101024140/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Mon, 01 Nov 2021 02:41:40 GMT",
<http://web.archive.org/web/20220214124331/https://secure.actblue.com/donate/mikelevin>; rel="memento"; datetime="Mon, 14 Feb 2022 12:43:31 GMT",
