<https://www.efundraisingconnections.com/c/JuanVargas/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="self"; type="application/link-format"; from="Thu, 12 Dec 2019 01:56:08 GMT",
<http://web.archive.org/web/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="timegate",
<http://web.archive.org/web/20191212015608/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="first memento"; datetime="Thu, 12 Dec 2019 01:56:08 GMT",
<http://web.archive.org/web/20200711042821/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:28:21 GMT",
<http://web.archive.org/web/20200711042822/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sat, 11 Jul 2020 04:28:22 GMT",
<http://web.archive.org/web/20200816205853/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:58:53 GMT",
<http://web.archive.org/web/20200816205854/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sun, 16 Aug 2020 20:58:54 GMT",
<http://web.archive.org/web/20201005040501/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Mon, 05 Oct 2020 04:05:01 GMT",
<http://web.archive.org/web/20201005040517/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Mon, 05 Oct 2020 04:05:17 GMT",
<http://web.archive.org/web/20201102114216/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Mon, 02 Nov 2020 11:42:16 GMT",
<http://web.archive.org/web/20201105042107/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Thu, 05 Nov 2020 04:21:07 GMT",
<http://web.archive.org/web/20201212211904/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sat, 12 Dec 2020 21:19:04 GMT",
<http://web.archive.org/web/20210509023031/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sun, 09 May 2021 02:30:31 GMT",
<http://web.archive.org/web/20210716144000/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Fri, 16 Jul 2021 14:40:00 GMT",
<http://web.archive.org/web/20211017233450/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Sun, 17 Oct 2021 23:34:50 GMT",
<http://web.archive.org/web/20211018171454/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Mon, 18 Oct 2021 17:14:54 GMT",
<http://web.archive.org/web/20211020114349/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Wed, 20 Oct 2021 11:43:49 GMT",
<http://web.archive.org/web/20211021073543/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Thu, 21 Oct 2021 07:35:43 GMT",
<http://web.archive.org/web/20211021095822/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Thu, 21 Oct 2021 09:58:22 GMT",
<http://web.archive.org/web/20220215013152/https://www.efundraisingconnections.com/c/JuanVargas/>; rel="memento"; datetime="Tue, 15 Feb 2022 01:31:52 GMT",
