<https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="self"; type="application/link-format"; from="Sat, 22 Feb 2020 04:15:41 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20200222041541/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="first memento"; datetime="Sat, 22 Feb 2020 04:15:41 GMT",
<http://web.archive.org/web/20200222041617/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 22 Feb 2020 04:16:17 GMT",
<http://web.archive.org/web/20200222041742/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 22 Feb 2020 04:17:42 GMT",
<http://web.archive.org/web/20200222233517/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 22 Feb 2020 23:35:17 GMT",
<http://web.archive.org/web/20200404042809/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 04 Apr 2020 04:28:09 GMT",
<http://web.archive.org/web/20200408192632/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Wed, 08 Apr 2020 19:26:32 GMT",
<http://web.archive.org/web/20200409190758/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Thu, 09 Apr 2020 19:07:58 GMT",
<http://web.archive.org/web/20200928065018/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:50:18 GMT",
<http://web.archive.org/web/20201003224554/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 22:45:54 GMT",
<http://web.archive.org/web/20201003224555/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 22:45:55 GMT",
<http://web.archive.org/web/20201003224555/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 22:45:55 GMT",
<http://web.archive.org/web/20201012221844/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Mon, 12 Oct 2020 22:18:44 GMT",
<http://web.archive.org/web/20201023123050/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Fri, 23 Oct 2020 12:30:50 GMT",
<http://web.archive.org/web/20201031082417/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 31 Oct 2020 08:24:17 GMT",
<http://web.archive.org/web/20201103192346/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Tue, 03 Nov 2020 19:23:46 GMT",
<http://web.archive.org/web/20201121060142/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 06:01:42 GMT",
<http://web.archive.org/web/20201205130825/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 05 Dec 2020 13:08:25 GMT",
<http://web.archive.org/web/20201212065320/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 06:53:20 GMT",
<http://web.archive.org/web/20210507015953/https://secure.actblue.com/donate/georgette-gomez-for-congress-1>; rel="memento"; datetime="Fri, 07 May 2021 01:59:53 GMT",
