<https://gaetzforcongress.revv.co/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://gaetzforcongress.revv.co/donate>; rel="self"; type="application/link-format"; from="Wed, 05 Feb 2020 12:50:58 GMT",
<http://web.archive.org/web/https://gaetzforcongress.revv.co/donate>; rel="timegate",
<http://web.archive.org/web/20200205125058/https://gaetzforcongress.revv.co/donate>; rel="first memento"; datetime="Wed, 05 Feb 2020 12:50:58 GMT",
<http://web.archive.org/web/20200208055703/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 08 Feb 2020 05:57:03 GMT",
<http://web.archive.org/web/20200229020151/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 29 Feb 2020 02:01:51 GMT",
<http://web.archive.org/web/20200711021819/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 02:18:19 GMT",
<http://web.archive.org/web/20200816190618/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 19:06:18 GMT",
<http://web.archive.org/web/20201005042431/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 04:24:31 GMT",
<http://web.archive.org/web/20201113043159/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 04:31:59 GMT",
<http://web.archive.org/web/20201113043251/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 04:32:51 GMT",
<http://web.archive.org/web/20201212214046/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 21:40:46 GMT",
<http://web.archive.org/web/20210109053848/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 09 Jan 2021 05:38:48 GMT",
<http://web.archive.org/web/20210125114447/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 11:44:47 GMT",
<http://web.archive.org/web/20210222192342/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Mon, 22 Feb 2021 19:23:42 GMT",
<http://web.archive.org/web/20210225162416/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 16:24:16 GMT",
<http://web.archive.org/web/20210306014902/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 06 Mar 2021 01:49:02 GMT",
<http://web.archive.org/web/20210402190307/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 02 Apr 2021 19:03:07 GMT",
<http://web.archive.org/web/20210402190625/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 02 Apr 2021 19:06:25 GMT",
<http://web.archive.org/web/20210414193516/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Wed, 14 Apr 2021 19:35:16 GMT",
<http://web.archive.org/web/20210416233424/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 23:34:24 GMT",
<http://web.archive.org/web/20210509022549/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sun, 09 May 2021 02:25:49 GMT",
<http://web.archive.org/web/20210512141846/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Wed, 12 May 2021 14:18:46 GMT",
<http://web.archive.org/web/20210525042510/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Tue, 25 May 2021 04:25:10 GMT",
<http://web.archive.org/web/20210525111059/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Tue, 25 May 2021 11:10:59 GMT",
<http://web.archive.org/web/20210806210638/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 06 Aug 2021 21:06:38 GMT",
<http://web.archive.org/web/20211030152246/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 30 Oct 2021 15:22:46 GMT",
<http://web.archive.org/web/20220101013827/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 01 Jan 2022 01:38:27 GMT",
<http://web.archive.org/web/20220121150940/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Fri, 21 Jan 2022 15:09:40 GMT",
<http://web.archive.org/web/20220205094449/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Sat, 05 Feb 2022 09:44:49 GMT",
<http://web.archive.org/web/20220210025424/https://gaetzforcongress.revv.co/donate>; rel="memento"; datetime="Thu, 10 Feb 2022 02:54:24 GMT",
