<https://secure.winred.com/bilirakis-for-congress/home-page>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 02:44:34 GMT",
<http://web.archive.org/web/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="timegate",
<http://web.archive.org/web/20200711024434/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="first memento"; datetime="Sat, 11 Jul 2020 02:44:34 GMT",
<http://web.archive.org/web/20200812035029/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Wed, 12 Aug 2020 03:50:29 GMT",
<http://web.archive.org/web/20200816190848/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sun, 16 Aug 2020 19:08:48 GMT",
<http://web.archive.org/web/20200926083425/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sat, 26 Sep 2020 08:34:25 GMT",
<http://web.archive.org/web/20201115011559/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sun, 15 Nov 2020 01:15:59 GMT",
<http://web.archive.org/web/20201130174013/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Mon, 30 Nov 2020 17:40:13 GMT",
<http://web.archive.org/web/20201212215318/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sat, 12 Dec 2020 21:53:18 GMT",
<http://web.archive.org/web/20210120004320/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Wed, 20 Jan 2021 00:43:20 GMT",
<http://web.archive.org/web/20210228035303/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sun, 28 Feb 2021 03:53:03 GMT",
<http://web.archive.org/web/20210422175946/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Thu, 22 Apr 2021 17:59:46 GMT",
<http://web.archive.org/web/20210509021730/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sun, 09 May 2021 02:17:30 GMT",
<http://web.archive.org/web/20210518080705/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Tue, 18 May 2021 08:07:05 GMT",
<http://web.archive.org/web/20211017231451/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Sun, 17 Oct 2021 23:14:51 GMT",
<http://web.archive.org/web/20211018165641/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Mon, 18 Oct 2021 16:56:41 GMT",
<http://web.archive.org/web/20211020112312/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Wed, 20 Oct 2021 11:23:12 GMT",
<http://web.archive.org/web/20211021065227/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Thu, 21 Oct 2021 06:52:27 GMT",
<http://web.archive.org/web/20220208202006/https://secure.winred.com/bilirakis-for-congress/home-page>; rel="memento"; datetime="Tue, 08 Feb 2022 20:20:06 GMT",
