<https://secure.winred.com/vernbuchanan/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/vernbuchanan/donate>; rel="self"; type="application/link-format"; from="Thu, 13 Aug 2020 11:25:25 GMT",
<http://web.archive.org/web/https://secure.winred.com/vernbuchanan/donate>; rel="timegate",
<http://web.archive.org/web/20200813112525/https://secure.winred.com/vernbuchanan/donate>; rel="first memento"; datetime="Thu, 13 Aug 2020 11:25:25 GMT",
<http://web.archive.org/web/20200816190943/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 19:09:43 GMT",
<http://web.archive.org/web/20201001075444/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 07:54:44 GMT",
<http://web.archive.org/web/20201030071803/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 07:18:03 GMT",
<http://web.archive.org/web/20201106030800/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 03:08:00 GMT",
<http://web.archive.org/web/20201128164232/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 16:42:32 GMT",
<http://web.archive.org/web/20201212220427/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 22:04:27 GMT",
<http://web.archive.org/web/20210120191641/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 19:16:41 GMT",
<http://web.archive.org/web/20210225074603/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 07:46:03 GMT",
<http://web.archive.org/web/20210416230518/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 23:05:18 GMT",
<http://web.archive.org/web/20210509021202/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Sun, 09 May 2021 02:12:02 GMT",
<http://web.archive.org/web/20210518073500/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Tue, 18 May 2021 07:35:00 GMT",
<http://web.archive.org/web/20211019235737/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 23:57:37 GMT",
<http://web.archive.org/web/20211020101146/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 10:11:46 GMT",
<http://web.archive.org/web/20211021231039/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 23:10:39 GMT",
<http://web.archive.org/web/20220315102226/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Tue, 15 Mar 2022 10:22:26 GMT",
<http://web.archive.org/web/20220315112301/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Tue, 15 Mar 2022 11:23:01 GMT",
<http://web.archive.org/web/20220315123418/https://secure.winred.com/vernbuchanan/donate>; rel="memento"; datetime="Tue, 15 Mar 2022 12:34:18 GMT",
