<https://secure.winred.com/byrondonalds/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/byrondonalds/donate>; rel="self"; type="application/link-format"; from="Mon, 10 Feb 2020 20:42:47 GMT",
<http://web.archive.org/web/https://secure.winred.com/byrondonalds/donate>; rel="timegate",
<http://web.archive.org/web/20200210204247/https://secure.winred.com/byrondonalds/donate>; rel="first memento"; datetime="Mon, 10 Feb 2020 20:42:47 GMT",
<http://web.archive.org/web/20200514190135/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 14 May 2020 19:01:35 GMT",
<http://web.archive.org/web/20200619112224/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Fri, 19 Jun 2020 11:22:24 GMT",
<http://web.archive.org/web/20200619112229/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Fri, 19 Jun 2020 11:22:29 GMT",
<http://web.archive.org/web/20200619112240/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Fri, 19 Jun 2020 11:22:40 GMT",
<http://web.archive.org/web/20200723172536/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 23 Jul 2020 17:25:36 GMT",
<http://web.archive.org/web/20200812061331/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 06:13:31 GMT",
<http://web.archive.org/web/20200816191028/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 19:10:28 GMT",
<http://web.archive.org/web/20201001072855/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 07:28:55 GMT",
<http://web.archive.org/web/20201005200423/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 20:04:23 GMT",
<http://web.archive.org/web/20201027085100/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Tue, 27 Oct 2020 08:51:00 GMT",
<http://web.archive.org/web/20201103041501/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 04:15:01 GMT",
<http://web.archive.org/web/20201106070826/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:08:26 GMT",
<http://web.archive.org/web/20201106120653/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:06:53 GMT",
<http://web.archive.org/web/20201107075606/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 07:56:06 GMT",
<http://web.archive.org/web/20201107080946/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 08:09:46 GMT",
<http://web.archive.org/web/20201107090244/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 09:02:44 GMT",
<http://web.archive.org/web/20201107092651/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 09:26:51 GMT",
<http://web.archive.org/web/20201115010355/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 01:03:55 GMT",
<http://web.archive.org/web/20201115010812/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 01:08:12 GMT",
<http://web.archive.org/web/20201115010813/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 01:08:13 GMT",
<http://web.archive.org/web/20201126030110/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 03:01:10 GMT",
<http://web.archive.org/web/20201126174845/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 17:48:45 GMT",
<http://web.archive.org/web/20201130013816/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 01:38:16 GMT",
<http://web.archive.org/web/20201201051244/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 05:12:44 GMT",
<http://web.archive.org/web/20201212211518/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 21:15:18 GMT",
<http://web.archive.org/web/20201212220918/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 22:09:18 GMT",
<http://web.archive.org/web/20210120185914/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 18:59:14 GMT",
<http://web.archive.org/web/20210225073256/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 07:32:56 GMT",
<http://web.archive.org/web/20210331040147/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:01:47 GMT",
<http://web.archive.org/web/20210416224841/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 22:48:41 GMT",
<http://web.archive.org/web/20210509020715/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sun, 09 May 2021 02:07:15 GMT",
<http://web.archive.org/web/20210511125812/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Tue, 11 May 2021 12:58:12 GMT",
<http://web.archive.org/web/20211023070416/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sat, 23 Oct 2021 07:04:16 GMT",
<http://web.archive.org/web/20211027155959/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Wed, 27 Oct 2021 15:59:59 GMT",
<http://web.archive.org/web/20211102142833/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Tue, 02 Nov 2021 14:28:33 GMT",
<http://web.archive.org/web/20220102072518/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Sun, 02 Jan 2022 07:25:18 GMT",
<http://web.archive.org/web/20220113103049/https://secure.winred.com/byrondonalds/donate>; rel="memento"; datetime="Thu, 13 Jan 2022 10:30:49 GMT",
