<https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="self"; type="application/link-format"; from="Wed, 25 Mar 2020 10:21:20 GMT",
<http://web.archive.org/web/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="timegate",
<http://web.archive.org/web/20200325102120/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="first memento"; datetime="Wed, 25 Mar 2020 10:21:20 GMT",
<http://web.archive.org/web/20200408075834/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 08 Apr 2020 07:58:34 GMT",
<http://web.archive.org/web/20200416215018/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 16 Apr 2020 21:50:18 GMT",
<http://web.archive.org/web/20200417085801/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 17 Apr 2020 08:58:01 GMT",
<http://web.archive.org/web/20200517125935/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sun, 17 May 2020 12:59:35 GMT",
<http://web.archive.org/web/20200618015757/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 18 Jun 2020 01:57:57 GMT",
<http://web.archive.org/web/20200618024720/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 18 Jun 2020 02:47:20 GMT",
<http://web.archive.org/web/20200711024702/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sat, 11 Jul 2020 02:47:02 GMT",
<http://web.archive.org/web/20200717004535/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 17 Jul 2020 00:45:35 GMT",
<http://web.archive.org/web/20200729024907/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 29 Jul 2020 02:49:07 GMT",
<http://web.archive.org/web/20200814234351/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 14 Aug 2020 23:43:51 GMT",
<http://web.archive.org/web/20200816191341/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sun, 16 Aug 2020 19:13:41 GMT",
<http://web.archive.org/web/20200819084715/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 19 Aug 2020 08:47:15 GMT",
<http://web.archive.org/web/20200821195555/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 21 Aug 2020 19:55:55 GMT",
<http://web.archive.org/web/20200825030450/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Tue, 25 Aug 2020 03:04:50 GMT",
<http://web.archive.org/web/20200908182958/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Tue, 08 Sep 2020 18:29:58 GMT",
