<https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 10 Apr 2020 20:29:09 GMT",
<http://web.archive.org/web/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200410202909/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="first memento"; datetime="Fri, 10 Apr 2020 20:29:09 GMT",
<http://web.archive.org/web/20200711024716/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 02:47:16 GMT",
<http://web.archive.org/web/20200814203935/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Fri, 14 Aug 2020 20:39:35 GMT",
<http://web.archive.org/web/20200816191454/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 19:14:54 GMT",
<http://web.archive.org/web/20200920050344/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 05:03:44 GMT",
<http://web.archive.org/web/20201021075338/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 07:53:38 GMT",
<http://web.archive.org/web/20201025002030/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sun, 25 Oct 2020 00:20:30 GMT",
<http://web.archive.org/web/20201115011659/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 01:16:59 GMT",
<http://web.archive.org/web/20201115012132/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 01:21:32 GMT",
<http://web.archive.org/web/20201116110533/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 11:05:33 GMT",
<http://web.archive.org/web/20201116110935/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 11:09:35 GMT",
<http://web.archive.org/web/20201126043853/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 04:38:53 GMT",
<http://web.archive.org/web/20201212155041/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 15:50:41 GMT",
<http://web.archive.org/web/20210105214549/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 21:45:49 GMT",
<http://web.archive.org/web/20210105214550/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 21:45:50 GMT",
<http://web.archive.org/web/20210112212215/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 12 Jan 2021 21:22:15 GMT",
<http://web.archive.org/web/20210112212216/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 12 Jan 2021 21:22:16 GMT",
<http://web.archive.org/web/20210119222722/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 22:27:22 GMT",
<http://web.archive.org/web/20210119222723/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 22:27:23 GMT",
<http://web.archive.org/web/20210121085112/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Thu, 21 Jan 2021 08:51:12 GMT",
<http://web.archive.org/web/20210302205548/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 20:55:48 GMT",
<http://web.archive.org/web/20210420011414/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Tue, 20 Apr 2021 01:14:14 GMT",
<http://web.archive.org/web/20210517161450/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Mon, 17 May 2021 16:14:50 GMT",
<http://web.archive.org/web/20210613052302/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Sun, 13 Jun 2021 05:23:02 GMT",
<http://web.archive.org/web/20220317043819/https://secure.anedot.com/jim-pruden-for-congress/donate>; rel="memento"; datetime="Thu, 17 Mar 2022 04:38:19 GMT",
