<https://secure.anedot.com/lavern-spicer/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/lavern-spicer/donate>; rel="self"; type="application/link-format"; from="Fri, 08 May 2020 14:54:08 GMT",
<http://web.archive.org/web/https://secure.anedot.com/lavern-spicer/donate>; rel="timegate",
<http://web.archive.org/web/20200508145408/https://secure.anedot.com/lavern-spicer/donate>; rel="first memento"; datetime="Fri, 08 May 2020 14:54:08 GMT",
<http://web.archive.org/web/20201022154121/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Thu, 22 Oct 2020 15:41:21 GMT",
<http://web.archive.org/web/20201025002529/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Sun, 25 Oct 2020 00:25:29 GMT",
<http://web.archive.org/web/20201114075257/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 07:52:57 GMT",
<http://web.archive.org/web/20201114075332/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 07:53:32 GMT",
<http://web.archive.org/web/20201117063008/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 06:30:08 GMT",
<http://web.archive.org/web/20201117073347/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 07:33:47 GMT",
<http://web.archive.org/web/20201119190356/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Thu, 19 Nov 2020 19:03:56 GMT",
<http://web.archive.org/web/20201202040654/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Wed, 02 Dec 2020 04:06:54 GMT",
<http://web.archive.org/web/20201212155610/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 15:56:10 GMT",
<http://web.archive.org/web/20210120044214/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 04:42:14 GMT",
<http://web.archive.org/web/20210304225207/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Thu, 04 Mar 2021 22:52:07 GMT",
<http://web.archive.org/web/20210420013458/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Tue, 20 Apr 2021 01:34:58 GMT",
<http://web.archive.org/web/20210506131531/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Thu, 06 May 2021 13:15:31 GMT",
<http://web.archive.org/web/20210509052222/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Sun, 09 May 2021 05:22:22 GMT",
<http://web.archive.org/web/20210513165058/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Thu, 13 May 2021 16:50:58 GMT",
<http://web.archive.org/web/20210612180641/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Sat, 12 Jun 2021 18:06:41 GMT",
<http://web.archive.org/web/20210721142059/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Wed, 21 Jul 2021 14:20:59 GMT",
<http://web.archive.org/web/20210728142438/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Wed, 28 Jul 2021 14:24:38 GMT",
<http://web.archive.org/web/20210804145219/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Wed, 04 Aug 2021 14:52:19 GMT",
<http://web.archive.org/web/20210811145712/https://secure.anedot.com/lavern-spicer/donate>; rel="memento"; datetime="Wed, 11 Aug 2021 14:57:12 GMT",
