<https://secure.actblue.com/donate/dmpwebsitebutton>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="self"; type="application/link-format"; from="Thu, 02 Aug 2018 04:37:29 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="timegate",
<http://web.archive.org/web/20180802043729/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="first memento"; datetime="Thu, 02 Aug 2018 04:37:29 GMT",
<http://web.archive.org/web/20190304152112/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Mon, 04 Mar 2019 15:21:12 GMT",
<http://web.archive.org/web/20190724203531/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Wed, 24 Jul 2019 20:35:31 GMT",
<http://web.archive.org/web/20201002214330/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Fri, 02 Oct 2020 21:43:30 GMT",
<http://web.archive.org/web/20201003231457/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Sat, 03 Oct 2020 23:14:57 GMT",
<http://web.archive.org/web/20201003231504/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Sat, 03 Oct 2020 23:15:04 GMT",
<http://web.archive.org/web/20201003231505/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Sat, 03 Oct 2020 23:15:05 GMT",
<http://web.archive.org/web/20201023134322/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Fri, 23 Oct 2020 13:43:22 GMT",
<http://web.archive.org/web/20201101020629/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Sun, 01 Nov 2020 02:06:29 GMT",
<http://web.archive.org/web/20201110011912/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Tue, 10 Nov 2020 01:19:12 GMT",
<http://web.archive.org/web/20201205141303/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Sat, 05 Dec 2020 14:13:03 GMT",
<http://web.archive.org/web/20201212074109/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Sat, 12 Dec 2020 07:41:09 GMT",
<http://web.archive.org/web/20210112081337/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Tue, 12 Jan 2021 08:13:37 GMT",
<http://web.archive.org/web/20211029015033/https://secure.actblue.com/donate/dmpwebsitebutton>; rel="memento"; datetime="Fri, 29 Oct 2021 01:50:33 GMT",
