<https://secure.actblue.com/donate/dshalala20>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/dshalala20>; rel="self"; type="application/link-format"; from="Sun, 16 Aug 2020 19:18:21 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/dshalala20>; rel="timegate",
<http://web.archive.org/web/20200816191821/https://secure.actblue.com/donate/dshalala20>; rel="first memento"; datetime="Sun, 16 Aug 2020 19:18:21 GMT",
<http://web.archive.org/web/20200816191822/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sun, 16 Aug 2020 19:18:22 GMT",
<http://web.archive.org/web/20201003231607/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 03 Oct 2020 23:16:07 GMT",
<http://web.archive.org/web/20201003231608/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 03 Oct 2020 23:16:08 GMT",
<http://web.archive.org/web/20201003231643/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 03 Oct 2020 23:16:43 GMT",
<http://web.archive.org/web/20201006022744/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Tue, 06 Oct 2020 02:27:44 GMT",
<http://web.archive.org/web/20201023134529/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Fri, 23 Oct 2020 13:45:29 GMT",
<http://web.archive.org/web/20201031233254/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 31 Oct 2020 23:32:54 GMT",
<http://web.archive.org/web/20201114031346/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 14 Nov 2020 03:13:46 GMT",
<http://web.archive.org/web/20201119191946/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Thu, 19 Nov 2020 19:19:46 GMT",
<http://web.archive.org/web/20201205141425/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 05 Dec 2020 14:14:25 GMT",
<http://web.archive.org/web/20201212074203/https://secure.actblue.com/donate/dshalala20>; rel="memento"; datetime="Sat, 12 Dec 2020 07:42:03 GMT",
