<https://secure.actblue.com/donate/val-almonord-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/val-almonord-1>; rel="self"; type="application/link-format"; from="Sun, 16 Aug 2020 20:18:38 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/val-almonord-1>; rel="timegate",
<http://web.archive.org/web/20200816201838/https://secure.actblue.com/donate/val-almonord-1>; rel="first memento"; datetime="Sun, 16 Aug 2020 20:18:38 GMT",
<http://web.archive.org/web/20200816201838/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sun, 16 Aug 2020 20:18:38 GMT",
<http://web.archive.org/web/20200816201839/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sun, 16 Aug 2020 20:18:39 GMT",
<http://web.archive.org/web/20200816201932/http://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sun, 16 Aug 2020 20:19:32 GMT",
<http://web.archive.org/web/20200928065331/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:53:31 GMT",
<http://web.archive.org/web/20200929092958/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Tue, 29 Sep 2020 09:29:58 GMT",
<http://web.archive.org/web/20200930170330/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Wed, 30 Sep 2020 17:03:30 GMT",
<http://web.archive.org/web/20201023134837/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Fri, 23 Oct 2020 13:48:37 GMT",
<http://web.archive.org/web/20201028025014/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Wed, 28 Oct 2020 02:50:14 GMT",
<http://web.archive.org/web/20201101073122/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sun, 01 Nov 2020 07:31:22 GMT",
<http://web.archive.org/web/20201111033044/http://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Wed, 11 Nov 2020 03:30:44 GMT",
<http://web.archive.org/web/20201111033044/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Wed, 11 Nov 2020 03:30:44 GMT",
<http://web.archive.org/web/20201122081124/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sun, 22 Nov 2020 08:11:24 GMT",
<http://web.archive.org/web/20201205141818/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sat, 05 Dec 2020 14:18:18 GMT",
<http://web.archive.org/web/20201212074439/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sat, 12 Dec 2020 07:44:39 GMT",
<http://web.archive.org/web/20210421024815/http://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Wed, 21 Apr 2021 02:48:15 GMT",
<http://web.archive.org/web/20210517184627/https://secure.actblue.com/donate/Val-almonord-1>; rel="memento"; datetime="Mon, 17 May 2021 18:46:27 GMT",
<http://web.archive.org/web/20211127201228/http://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sat, 27 Nov 2021 20:12:28 GMT",
<http://web.archive.org/web/20211127201919/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Sat, 27 Nov 2021 20:19:19 GMT",
<http://web.archive.org/web/20211229140610/https://secure.actblue.com/donate/val-almonord-1>; rel="memento"; datetime="Wed, 29 Dec 2021 14:06:10 GMT",
