<https://secure.actblue.com/donate/support-lucy>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/support-lucy>; rel="self"; type="application/link-format"; from="Thu, 26 Apr 2018 22:24:06 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/support-lucy>; rel="timegate",
<http://web.archive.org/web/20180426222406/https://secure.actblue.com/donate/support-lucy>; rel="first memento"; datetime="Thu, 26 Apr 2018 22:24:06 GMT",
<http://web.archive.org/web/20180517173708/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Thu, 17 May 2018 17:37:08 GMT",
<http://web.archive.org/web/20180802043752/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Thu, 02 Aug 2018 04:37:52 GMT",
<http://web.archive.org/web/20180813223306/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Mon, 13 Aug 2018 22:33:06 GMT",
<http://web.archive.org/web/20180819051522/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sun, 19 Aug 2018 05:15:22 GMT",
<http://web.archive.org/web/20180925122953/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Tue, 25 Sep 2018 12:29:53 GMT",
<http://web.archive.org/web/20190427143659/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 27 Apr 2019 14:36:59 GMT",
<http://web.archive.org/web/20190724203543/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 24 Jul 2019 20:35:43 GMT",
<http://web.archive.org/web/20190827132704/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Tue, 27 Aug 2019 13:27:04 GMT",
<http://web.archive.org/web/20200608063443/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Mon, 08 Jun 2020 06:34:43 GMT",
<http://web.archive.org/web/20200809153127/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sun, 09 Aug 2020 15:31:27 GMT",
<http://web.archive.org/web/20200813045522/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Thu, 13 Aug 2020 04:55:22 GMT",
<http://web.archive.org/web/20201003231850/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 03 Oct 2020 23:18:50 GMT",
<http://web.archive.org/web/20201004035143/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sun, 04 Oct 2020 03:51:43 GMT",
<http://web.archive.org/web/20201023135145/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Fri, 23 Oct 2020 13:51:45 GMT",
<http://web.archive.org/web/20201101095327/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sun, 01 Nov 2020 09:53:27 GMT",
<http://web.archive.org/web/20201117092622/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Tue, 17 Nov 2020 09:26:22 GMT",
<http://web.archive.org/web/20201118190858/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 18 Nov 2020 19:08:58 GMT",
<http://web.archive.org/web/20201205142101/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 05 Dec 2020 14:21:01 GMT",
<http://web.archive.org/web/20201212074641/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 12 Dec 2020 07:46:41 GMT",
<http://web.archive.org/web/20210509100657/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sun, 09 May 2021 10:06:57 GMT",
<http://web.archive.org/web/20210526074357/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 26 May 2021 07:43:57 GMT",
<http://web.archive.org/web/20210708072305/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Thu, 08 Jul 2021 07:23:05 GMT",
<http://web.archive.org/web/20210714183538/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 14 Jul 2021 18:35:38 GMT",
<http://web.archive.org/web/20210714184733/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 14 Jul 2021 18:47:33 GMT",
<http://web.archive.org/web/20211019083842/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Tue, 19 Oct 2021 08:38:42 GMT",
<http://web.archive.org/web/20211103124132/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 03 Nov 2021 12:41:32 GMT",
<http://web.archive.org/web/20211127201811/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 27 Nov 2021 20:18:11 GMT",
<http://web.archive.org/web/20211215184211/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 15 Dec 2021 18:42:11 GMT",
<http://web.archive.org/web/20211229145108/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Wed, 29 Dec 2021 14:51:08 GMT",
<http://web.archive.org/web/20220114001034/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Fri, 14 Jan 2022 00:10:34 GMT",
<http://web.archive.org/web/20220116064317/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sun, 16 Jan 2022 06:43:17 GMT",
<http://web.archive.org/web/20220212121136/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 12 Feb 2022 12:11:36 GMT",
<http://web.archive.org/web/20220319130715/https://secure.actblue.com/donate/support-lucy>; rel="memento"; datetime="Sat, 19 Mar 2022 13:07:15 GMT",
