<https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="self"; type="application/link-format"; from="Wed, 13 Nov 2019 02:17:30 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20191113021730/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="first memento"; datetime="Wed, 13 Nov 2019 02:17:30 GMT",
<http://web.archive.org/web/20191208213803/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sun, 08 Dec 2019 21:38:03 GMT",
<http://web.archive.org/web/20200207135123/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Fri, 07 Feb 2020 13:51:23 GMT",
<http://web.archive.org/web/20200711033454/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 11 Jul 2020 03:34:54 GMT",
<http://web.archive.org/web/20200816202523/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sun, 16 Aug 2020 20:25:23 GMT",
<http://web.archive.org/web/20200928064556/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:45:56 GMT",
<http://web.archive.org/web/20201003060308/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 06:03:08 GMT",
<http://web.archive.org/web/20201023140643/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Fri, 23 Oct 2020 14:06:43 GMT",
<http://web.archive.org/web/20201031094555/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 31 Oct 2020 09:45:55 GMT",
<http://web.archive.org/web/20201101213035/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 21:30:35 GMT",
<http://web.archive.org/web/20201111030437/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Wed, 11 Nov 2020 03:04:37 GMT",
<http://web.archive.org/web/20201121051329/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 05:13:29 GMT",
<http://web.archive.org/web/20201121235918/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 21 Nov 2020 23:59:18 GMT",
<http://web.archive.org/web/20201122003009/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sun, 22 Nov 2020 00:30:09 GMT",
<http://web.archive.org/web/20201205143549/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 05 Dec 2020 14:35:49 GMT",
<http://web.archive.org/web/20201212075543/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 07:55:43 GMT",
<http://web.archive.org/web/20210430212823/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Fri, 30 Apr 2021 21:28:23 GMT",
<http://web.archive.org/web/20210501002312/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Sat, 01 May 2021 00:23:12 GMT",
<http://web.archive.org/web/20220223060939/https://secure.actblue.com/donate/dana-barrett-for-congress-1>; rel="memento"; datetime="Wed, 23 Feb 2022 06:09:39 GMT",
