<https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 05 Jun 2020 17:55:01 GMT",
<http://web.archive.org/web/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200605175501/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="first memento"; datetime="Fri, 05 Jun 2020 17:55:01 GMT",
<http://web.archive.org/web/20200609132113/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:21:13 GMT",
<http://web.archive.org/web/20200609132119/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:21:19 GMT",
<http://web.archive.org/web/20200609132205/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:22:05 GMT",
<http://web.archive.org/web/20200609132315/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:23:15 GMT",
<http://web.archive.org/web/20200609132321/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:23:21 GMT",
<http://web.archive.org/web/20200609133121/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:31:21 GMT",
<http://web.archive.org/web/20200609135411/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 09 Jun 2020 13:54:11 GMT",
<http://web.archive.org/web/20200611195323/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 11 Jun 2020 19:53:23 GMT",
<http://web.archive.org/web/20200616144353/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 16 Jun 2020 14:43:53 GMT",
<http://web.archive.org/web/20200701232758/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 01 Jul 2020 23:27:58 GMT",
<http://web.archive.org/web/20200711033612/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 03:36:12 GMT",
<http://web.archive.org/web/20200712135821/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sun, 12 Jul 2020 13:58:21 GMT",
