<https://secure.anedot.com/russfulcher/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/russfulcher/donate>; rel="self"; type="application/link-format"; from="Mon, 17 Sep 2018 13:13:46 GMT",
<http://web.archive.org/web/https://secure.anedot.com/russfulcher/donate>; rel="timegate",
<http://web.archive.org/web/20180917131346/https://secure.anedot.com/russfulcher/donate>; rel="first memento"; datetime="Mon, 17 Sep 2018 13:13:46 GMT",
<http://web.archive.org/web/20181005200344/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Fri, 05 Oct 2018 20:03:44 GMT",
<http://web.archive.org/web/20181017152300/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Wed, 17 Oct 2018 15:23:00 GMT",
<http://web.archive.org/web/20181023204410/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Tue, 23 Oct 2018 20:44:10 GMT",
<http://web.archive.org/web/20200618125039/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 18 Jun 2020 12:50:39 GMT",
<http://web.archive.org/web/20200808085840/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sat, 08 Aug 2020 08:58:40 GMT",
<http://web.archive.org/web/20200816213250/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 21:32:50 GMT",
<http://web.archive.org/web/20200924171801/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 17:18:01 GMT",
<http://web.archive.org/web/20201004220205/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 22:02:05 GMT",
<http://web.archive.org/web/20201029221944/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 22:19:44 GMT",
<http://web.archive.org/web/20201112002209/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 00:22:09 GMT",
<http://web.archive.org/web/20201112002519/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 00:25:19 GMT",
<http://web.archive.org/web/20201112003038/http://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 00:30:38 GMT",
<http://web.archive.org/web/20201112003038/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 00:30:38 GMT",
<http://web.archive.org/web/20201121020745/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 02:07:45 GMT",
<http://web.archive.org/web/20201202060539/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Wed, 02 Dec 2020 06:05:39 GMT",
<http://web.archive.org/web/20201212162237/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 16:22:37 GMT",
<http://web.archive.org/web/20210123200032/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sat, 23 Jan 2021 20:00:32 GMT",
<http://web.archive.org/web/20210227033609/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sat, 27 Feb 2021 03:36:09 GMT",
<http://web.archive.org/web/20210311024655/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 11 Mar 2021 02:46:55 GMT",
<http://web.archive.org/web/20210323200646/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Tue, 23 Mar 2021 20:06:46 GMT",
<http://web.archive.org/web/20210325091403/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 25 Mar 2021 09:14:03 GMT",
<http://web.archive.org/web/20210331040050/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:00:50 GMT",
<http://web.archive.org/web/20210416005218/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:18 GMT",
<http://web.archive.org/web/20210416005224/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:24 GMT",
<http://web.archive.org/web/20210416223147/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 22:31:47 GMT",
<http://web.archive.org/web/20210509051256/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sun, 09 May 2021 05:12:56 GMT",
<http://web.archive.org/web/20210509125605/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sun, 09 May 2021 12:56:05 GMT",
<http://web.archive.org/web/20210613043422/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Sun, 13 Jun 2021 04:34:22 GMT",
<http://web.archive.org/web/20210805091914/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Thu, 05 Aug 2021 09:19:14 GMT",
<http://web.archive.org/web/20220214091356/https://secure.anedot.com/russfulcher/donate>; rel="memento"; datetime="Mon, 14 Feb 2022 09:13:56 GMT",
