<https://secure.winred.com/MichaelSimpson/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/MichaelSimpson/donate>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 06:03:34 GMT",
<http://web.archive.org/web/https://secure.winred.com/MichaelSimpson/donate>; rel="timegate",
<http://web.archive.org/web/20200711060334/https://secure.winred.com/MichaelSimpson/donate>; rel="first memento"; datetime="Sat, 11 Jul 2020 06:03:34 GMT",
<http://web.archive.org/web/20200812040838/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 04:08:38 GMT",
<http://web.archive.org/web/20200816213314/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 21:33:14 GMT",
<http://web.archive.org/web/20200927114521/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 11:45:21 GMT",
<http://web.archive.org/web/20201103221553/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 22:15:53 GMT",
<http://web.archive.org/web/20201106072614/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:26:14 GMT",
<http://web.archive.org/web/20201106122629/https://secure.winred.com/michaelsimpson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:26:29 GMT",
<http://web.archive.org/web/20201112001637/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 00:16:37 GMT",
<http://web.archive.org/web/20201117234330/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 23:43:30 GMT",
<http://web.archive.org/web/20201117235832/https://secure.winred.com/michaelsimpson/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 23:58:32 GMT",
<http://web.archive.org/web/20201201091026/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 09:10:26 GMT",
<http://web.archive.org/web/20201212223634/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 22:36:34 GMT",
<http://web.archive.org/web/20210118043803/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Mon, 18 Jan 2021 04:38:03 GMT",
<http://web.archive.org/web/20210228041202/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Sun, 28 Feb 2021 04:12:02 GMT",
<http://web.archive.org/web/20210331035752/https://secure.winred.com/michaelsimpson/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 03:57:52 GMT",
<http://web.archive.org/web/20210423084712/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 08:47:12 GMT",
<http://web.archive.org/web/20210509014654/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Sun, 09 May 2021 01:46:54 GMT",
<http://web.archive.org/web/20210518082447/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Tue, 18 May 2021 08:24:47 GMT",
<http://web.archive.org/web/20211017160343/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 16:03:43 GMT",
<http://web.archive.org/web/20211018083828/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 08:38:28 GMT",
<http://web.archive.org/web/20211020045632/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 04:56:32 GMT",
<http://web.archive.org/web/20211020220107/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 22:01:07 GMT",
<http://web.archive.org/web/20220214093155/https://secure.winred.com/MichaelSimpson/donate>; rel="memento"; datetime="Mon, 14 Feb 2022 09:31:55 GMT",
