<https://secure.actblue.com/donate/marienewmanforcongress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/marienewmanforcongress>; rel="self"; type="application/link-format"; from="Sun, 23 Sep 2018 14:18:05 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/marienewmanforcongress>; rel="timegate",
<http://web.archive.org/web/20180923141805/https://secure.actblue.com/donate/marienewmanforcongress>; rel="first memento"; datetime="Sun, 23 Sep 2018 14:18:05 GMT",
<http://web.archive.org/web/20190422011412/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Mon, 22 Apr 2019 01:14:12 GMT",
<http://web.archive.org/web/20190518232306/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 18 May 2019 23:23:06 GMT",
<http://web.archive.org/web/20200222092656/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 22 Feb 2020 09:26:56 GMT",
<http://web.archive.org/web/20200222093929/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 22 Feb 2020 09:39:29 GMT",
<http://web.archive.org/web/20200222093931/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 22 Feb 2020 09:39:31 GMT",
<http://web.archive.org/web/20200318060845/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Wed, 18 Mar 2020 06:08:45 GMT",
<http://web.archive.org/web/20200409192628/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Thu, 09 Apr 2020 19:26:28 GMT",
<http://web.archive.org/web/20201003234237/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 03 Oct 2020 23:42:37 GMT",
<http://web.archive.org/web/20201003234238/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 03 Oct 2020 23:42:38 GMT",
<http://web.archive.org/web/20201005200617/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Mon, 05 Oct 2020 20:06:17 GMT",
<http://web.archive.org/web/20201023142220/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Fri, 23 Oct 2020 14:22:20 GMT",
<http://web.archive.org/web/20201101000541/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sun, 01 Nov 2020 00:05:41 GMT",
<http://web.archive.org/web/20201117125455/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Tue, 17 Nov 2020 12:54:55 GMT",
<http://web.archive.org/web/20201205144845/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 05 Dec 2020 14:48:45 GMT",
<http://web.archive.org/web/20201212080401/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sat, 12 Dec 2020 08:04:01 GMT",
<http://web.archive.org/web/20210509095229/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Sun, 09 May 2021 09:52:29 GMT",
<http://web.archive.org/web/20210513021408/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Thu, 13 May 2021 02:14:08 GMT",
<http://web.archive.org/web/20210916142936/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Thu, 16 Sep 2021 14:29:36 GMT",
<http://web.archive.org/web/20211206052316/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Mon, 06 Dec 2021 05:23:16 GMT",
<http://web.archive.org/web/20211208100111/https://secure.actblue.com/donate/marienewmanforcongress>; rel="memento"; datetime="Wed, 08 Dec 2021 10:01:11 GMT",
