<https://secure.actblue.com/donate/castenwebsite2020>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/castenwebsite2020>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 10:59:17 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/castenwebsite2020>; rel="timegate",
<http://web.archive.org/web/20190508105917/https://secure.actblue.com/donate/castenwebsite2020>; rel="first memento"; datetime="Wed, 08 May 2019 10:59:17 GMT",
<http://web.archive.org/web/20190913124136/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Fri, 13 Sep 2019 12:41:36 GMT",
<http://web.archive.org/web/20200711061543/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 11 Jul 2020 06:15:43 GMT",
<http://web.archive.org/web/20200711061544/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 11 Jul 2020 06:15:44 GMT",
<http://web.archive.org/web/20200714011241/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Tue, 14 Jul 2020 01:12:41 GMT",
<http://web.archive.org/web/20200816214259/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sun, 16 Aug 2020 21:42:59 GMT",
<http://web.archive.org/web/20200913080147/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sun, 13 Sep 2020 08:01:47 GMT",
<http://web.archive.org/web/20200929213608/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Tue, 29 Sep 2020 21:36:08 GMT",
<http://web.archive.org/web/20201003215812/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 03 Oct 2020 21:58:12 GMT",
<http://web.archive.org/web/20201003235908/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 03 Oct 2020 23:59:08 GMT",
<http://web.archive.org/web/20201003235909/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 03 Oct 2020 23:59:09 GMT",
<http://web.archive.org/web/20201023144437/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Fri, 23 Oct 2020 14:44:37 GMT",
<http://web.archive.org/web/20201031114448/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 31 Oct 2020 11:44:48 GMT",
<http://web.archive.org/web/20201112202102/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Thu, 12 Nov 2020 20:21:02 GMT",
<http://web.archive.org/web/20201112202200/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Thu, 12 Nov 2020 20:22:00 GMT",
<http://web.archive.org/web/20201121063723/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 21 Nov 2020 06:37:23 GMT",
<http://web.archive.org/web/20201122105510/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sun, 22 Nov 2020 10:55:10 GMT",
<http://web.archive.org/web/20201122110008/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sun, 22 Nov 2020 11:00:08 GMT",
<http://web.archive.org/web/20201205150039/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 05 Dec 2020 15:00:39 GMT",
<http://web.archive.org/web/20201212081223/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 12 Dec 2020 08:12:23 GMT",
<http://web.archive.org/web/20210509094930/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sun, 09 May 2021 09:49:30 GMT",
<http://web.archive.org/web/20211022043511/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Fri, 22 Oct 2021 04:35:11 GMT",
<http://web.archive.org/web/20211030221400/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Sat, 30 Oct 2021 22:14:00 GMT",
<http://web.archive.org/web/20220214145745/https://secure.actblue.com/donate/castenwebsite2020>; rel="memento"; datetime="Mon, 14 Feb 2022 14:57:45 GMT",
