<https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="self"; type="application/link-format"; from="Thu, 05 Dec 2019 19:56:40 GMT",
<http://web.archive.org/web/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="timegate",
<http://web.archive.org/web/20191205195640/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="first memento"; datetime="Thu, 05 Dec 2019 19:56:40 GMT",
<http://web.archive.org/web/20200714011523/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Tue, 14 Jul 2020 01:15:23 GMT",
<http://web.archive.org/web/20200812041046/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Wed, 12 Aug 2020 04:10:46 GMT",
<http://web.archive.org/web/20200928034019/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Mon, 28 Sep 2020 03:40:19 GMT",
<http://web.archive.org/web/20201004221016/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Sun, 04 Oct 2020 22:10:16 GMT",
<http://web.archive.org/web/20201022041458/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Thu, 22 Oct 2020 04:14:58 GMT",
<http://web.archive.org/web/20201112204140/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Thu, 12 Nov 2020 20:41:40 GMT",
<http://web.archive.org/web/20201128084627/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Sat, 28 Nov 2020 08:46:27 GMT",
<http://web.archive.org/web/20201212163251/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Sat, 12 Dec 2020 16:32:51 GMT",
<http://web.archive.org/web/20210120042910/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Wed, 20 Jan 2021 04:29:10 GMT",
<http://web.archive.org/web/20210225055127/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Thu, 25 Feb 2021 05:51:27 GMT",
<http://web.archive.org/web/20210302083110/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Tue, 02 Mar 2021 08:31:10 GMT",
<http://web.archive.org/web/20210410221803/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Sat, 10 Apr 2021 22:18:03 GMT",
<http://web.archive.org/web/20210509051106/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Sun, 09 May 2021 05:11:06 GMT",
<http://web.archive.org/web/20210509135529/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Sun, 09 May 2021 13:55:29 GMT",
<http://web.archive.org/web/20210616111322/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Wed, 16 Jun 2021 11:13:22 GMT",
<http://web.archive.org/web/20211018090231/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Mon, 18 Oct 2021 09:02:31 GMT",
<http://web.archive.org/web/20211018222532/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Mon, 18 Oct 2021 22:25:32 GMT",
<http://web.archive.org/web/20211020170317/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Wed, 20 Oct 2021 17:03:17 GMT",
<http://web.archive.org/web/20211021193413/https://secure.anedot.com/mike-bost-for-congress/mike-bost-for-congress>; rel="memento"; datetime="Thu, 21 Oct 2021 19:34:13 GMT",
