<https://jim2020.com/donate/>; rel="original",
<http://web.archive.org/web/timemap/link/https://jim2020.com/donate/>; rel="self"; type="application/link-format"; from="Tue, 28 Apr 2020 07:41:56 GMT",
<http://web.archive.org/web/https://jim2020.com/donate/>; rel="timegate",
<http://web.archive.org/web/20200428074156/https://jim2020.com/donate/>; rel="first memento"; datetime="Tue, 28 Apr 2020 07:41:56 GMT",
<http://web.archive.org/web/20200711061856/https://jim2020.com/donate/>; rel="memento"; datetime="Sat, 11 Jul 2020 06:18:56 GMT",
<http://web.archive.org/web/20200803150741/https://jim2020.com/donate/>; rel="memento"; datetime="Mon, 03 Aug 2020 15:07:41 GMT",
<http://web.archive.org/web/20200816214416/https://jim2020.com/donate/>; rel="memento"; datetime="Sun, 16 Aug 2020 21:44:16 GMT",
<http://web.archive.org/web/20200917172351/https://jim2020.com/donate/>; rel="memento"; datetime="Thu, 17 Sep 2020 17:23:51 GMT",
<http://web.archive.org/web/20200922114023/https://jim2020.com/donate/>; rel="memento"; datetime="Tue, 22 Sep 2020 11:40:23 GMT",
<http://web.archive.org/web/20200925022228/https://jim2020.com/donate/>; rel="memento"; datetime="Fri, 25 Sep 2020 02:22:28 GMT",
<http://web.archive.org/web/20201005051256/https://jim2020.com/donate/>; rel="memento"; datetime="Mon, 05 Oct 2020 05:12:56 GMT",
<http://web.archive.org/web/20201101082248/https://jim2020.com/donate/>; rel="memento"; datetime="Sun, 01 Nov 2020 08:22:48 GMT",
<http://web.archive.org/web/20201112203516/https://jim2020.com/donate/>; rel="memento"; datetime="Thu, 12 Nov 2020 20:35:16 GMT",
<http://web.archive.org/web/20201112203604/https://jim2020.com/donate/>; rel="memento"; datetime="Thu, 12 Nov 2020 20:36:04 GMT",
<http://web.archive.org/web/20201128165853/https://jim2020.com/donate/>; rel="memento"; datetime="Sat, 28 Nov 2020 16:58:53 GMT",
<http://web.archive.org/web/20201212225610/https://jim2020.com/donate/>; rel="memento"; datetime="Sat, 12 Dec 2020 22:56:10 GMT",
<http://web.archive.org/web/20210119213529/https://jim2020.com/donate/>; rel="memento"; datetime="Tue, 19 Jan 2021 21:35:29 GMT",
<http://web.archive.org/web/20210322111519/https://jim2020.com/donate/>; rel="memento"; datetime="Mon, 22 Mar 2021 11:15:19 GMT",
<http://web.archive.org/web/20210411041809/https://jim2020.com/donate/>; rel="memento"; datetime="Sun, 11 Apr 2021 04:18:09 GMT",
<http://web.archive.org/web/20210416111249/https://jim2020.com/donate/>; rel="memento"; datetime="Fri, 16 Apr 2021 11:12:49 GMT",
<http://web.archive.org/web/20210416111330/https://jim2020.com/donate/>; rel="memento"; datetime="Fri, 16 Apr 2021 11:13:30 GMT",
