<https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 05:21:22 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20190508052122/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="first memento"; datetime="Wed, 08 May 2019 05:21:22 GMT",
<http://web.archive.org/web/20190508105908/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Wed, 08 May 2019 10:59:08 GMT",
<http://web.archive.org/web/20200321001322/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sat, 21 Mar 2020 00:13:22 GMT",
<http://web.archive.org/web/20200606024744/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sat, 06 Jun 2020 02:47:44 GMT",
<http://web.archive.org/web/20200928063521/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:35:21 GMT",
<http://web.archive.org/web/20201003095151/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sat, 03 Oct 2020 09:51:51 GMT",
<http://web.archive.org/web/20201004001456/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 00:14:56 GMT",
<http://web.archive.org/web/20201004001456/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 00:14:56 GMT",
<http://web.archive.org/web/20201004001457/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 00:14:57 GMT",
<http://web.archive.org/web/20201023145653/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Fri, 23 Oct 2020 14:56:53 GMT",
<http://web.archive.org/web/20201024141434/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sat, 24 Oct 2020 14:14:34 GMT",
<http://web.archive.org/web/20201101060004/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 06:00:04 GMT",
<http://web.archive.org/web/20201205151150/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sat, 05 Dec 2020 15:11:50 GMT",
<http://web.archive.org/web/20201212081933/https://secure.actblue.com/donate/lauren-underwood-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 08:19:33 GMT",
