<https://secure.winred.com/mary-miller-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/mary-miller-for-congress/donate>; rel="self"; type="application/link-format"; from="Sat, 11 Apr 2020 01:29:56 GMT",
<http://web.archive.org/web/https://secure.winred.com/mary-miller-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200411012956/https://secure.winred.com/mary-miller-for-congress/donate>; rel="first memento"; datetime="Sat, 11 Apr 2020 01:29:56 GMT",
<http://web.archive.org/web/20200711061903/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 06:19:03 GMT",
<http://web.archive.org/web/20200714011423/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Tue, 14 Jul 2020 01:14:23 GMT",
<http://web.archive.org/web/20200812153602/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 15:36:02 GMT",
<http://web.archive.org/web/20200816214432/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 21:44:32 GMT",
<http://web.archive.org/web/20200927112442/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 11:24:42 GMT",
<http://web.archive.org/web/20201105134348/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 13:43:48 GMT",
<http://web.archive.org/web/20201108234541/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 23:45:41 GMT",
<http://web.archive.org/web/20201112203827/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:38:27 GMT",
<http://web.archive.org/web/20201205001216/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sat, 05 Dec 2020 00:12:16 GMT",
<http://web.archive.org/web/20201212225725/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 22:57:25 GMT",
<http://web.archive.org/web/20210201210005/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Mon, 01 Feb 2021 21:00:05 GMT",
<http://web.archive.org/web/20210302172314/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 17:23:14 GMT",
<http://web.archive.org/web/20210422181612/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 18:16:12 GMT",
<http://web.archive.org/web/20210508074827/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sat, 08 May 2021 07:48:27 GMT",
<http://web.archive.org/web/20210509013932/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Sun, 09 May 2021 01:39:32 GMT",
<http://web.archive.org/web/20210524184710/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Mon, 24 May 2021 18:47:10 GMT",
<http://web.archive.org/web/20220214133444/https://secure.winred.com/mary-miller-for-congress/donate>; rel="memento"; datetime="Mon, 14 Feb 2022 13:34:44 GMT",
