<https://secure.actblue.com/donate/daniforillinois>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/daniforillinois>; rel="self"; type="application/link-format"; from="Thu, 05 Dec 2019 19:55:43 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/daniforillinois>; rel="timegate",
<http://web.archive.org/web/20191205195543/https://secure.actblue.com/donate/daniforillinois>; rel="first memento"; datetime="Thu, 05 Dec 2019 19:55:43 GMT",
<http://web.archive.org/web/20200422142043/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Wed, 22 Apr 2020 14:20:43 GMT",
<http://web.archive.org/web/20200509024509/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 09 May 2020 02:45:09 GMT",
<http://web.archive.org/web/20200711061858/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 11 Jul 2020 06:18:58 GMT",
<http://web.archive.org/web/20200711061859/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 11 Jul 2020 06:18:59 GMT",
<http://web.archive.org/web/20200711061859/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 11 Jul 2020 06:18:59 GMT",
<http://web.archive.org/web/20200714011412/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Tue, 14 Jul 2020 01:14:12 GMT",
<http://web.archive.org/web/20200816214441/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sun, 16 Aug 2020 21:44:41 GMT",
<http://web.archive.org/web/20201003015306/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 03 Oct 2020 01:53:06 GMT",
<http://web.archive.org/web/20201004001811/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sun, 04 Oct 2020 00:18:11 GMT",
<http://web.archive.org/web/20201004001812/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sun, 04 Oct 2020 00:18:12 GMT",
<http://web.archive.org/web/20201023150121/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Fri, 23 Oct 2020 15:01:21 GMT",
<http://web.archive.org/web/20201101062905/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sun, 01 Nov 2020 06:29:05 GMT",
<http://web.archive.org/web/20201109233140/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Mon, 09 Nov 2020 23:31:40 GMT",
<http://web.archive.org/web/20201112013806/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Thu, 12 Nov 2020 01:38:06 GMT",
<http://web.archive.org/web/20201114030924/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 14 Nov 2020 03:09:24 GMT",
<http://web.archive.org/web/20201205151640/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 05 Dec 2020 15:16:40 GMT",
<http://web.archive.org/web/20201212082252/https://secure.actblue.com/donate/daniforillinois>; rel="memento"; datetime="Sat, 12 Dec 2020 08:22:52 GMT",
