<https://secure.winred.com/adamkinzinger/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/adamkinzinger/donate>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 06:19:23 GMT",
<http://web.archive.org/web/https://secure.winred.com/adamkinzinger/donate>; rel="timegate",
<http://web.archive.org/web/20200711061923/https://secure.winred.com/adamkinzinger/donate>; rel="first memento"; datetime="Sat, 11 Jul 2020 06:19:23 GMT",
<http://web.archive.org/web/20200807101040/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 10:10:40 GMT",
<http://web.archive.org/web/20200816214435/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 21:44:35 GMT",
<http://web.archive.org/web/20200926092340/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 09:23:40 GMT",
<http://web.archive.org/web/20201005052617/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 05:26:17 GMT",
<http://web.archive.org/web/20201029180351/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 18:03:51 GMT",
<http://web.archive.org/web/20201112202259/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:22:59 GMT",
<http://web.archive.org/web/20201112202431/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:24:31 GMT",
<http://web.archive.org/web/20201112202434/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:24:34 GMT",
<http://web.archive.org/web/20201205005341/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Sat, 05 Dec 2020 00:53:41 GMT",
<http://web.archive.org/web/20201212225915/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 22:59:15 GMT",
<http://web.archive.org/web/20210101201519/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 20:15:19 GMT",
<http://web.archive.org/web/20210120024215/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 02:42:15 GMT",
<http://web.archive.org/web/20210121215908/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Thu, 21 Jan 2021 21:59:08 GMT",
<http://web.archive.org/web/20210122043408/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 22 Jan 2021 04:34:08 GMT",
<http://web.archive.org/web/20210423091606/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 09:16:06 GMT",
<http://web.archive.org/web/20210505224952/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Wed, 05 May 2021 22:49:52 GMT",
<http://web.archive.org/web/20210509013818/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Sun, 09 May 2021 01:38:18 GMT",
<http://web.archive.org/web/20211020163411/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 16:34:11 GMT",
<http://web.archive.org/web/20211021133401/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 13:34:01 GMT",
<http://web.archive.org/web/20211022093819/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 09:38:19 GMT",
<http://web.archive.org/web/20211029030941/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 29 Oct 2021 03:09:41 GMT",
<http://web.archive.org/web/20211029063845/https://secure.winred.com/adamkinzinger/donate>; rel="memento"; datetime="Fri, 29 Oct 2021 06:38:45 GMT",
